GeoFips,State,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
28000,Mississippi,7671,7894,8237,8486,8362,9481,9402,9202,9719,10425,10185,10804,10972,11897,12164,12987,13782,14562,15345,16100,16677,17358,18808,19864,19423,19138,20261,20913,21401,21547,20500,20750,20501,20701,21592,21895,22244,22732,23419,24245,24097,24156,25048,25603,26673,27066,27644,28249,29188,29298,29706,30522,30530,30891,31691,32517,32978,33771,33799,33351,33460,33693,34198,34215,34472,35444
29000,Missouri,14142,14358,15044,15650,15472,16361,16896,16718,17313,17903,17840,18169,18906,19418,20024,21309,21917,22538,23783,23501,24044,24656,25817,26878,25846,25887,26647,27605,28420,28357,26935,27209,27401,28245,29827,30676,31591,31901,32331,32934,32450,32298,33160,33340,34092,34500,35154,36174,37132,37561,38560,38536,38530,38980,39694,39567,40453,40972,41217,40110,39824,40085,41195,40999,41688,42752
30000,Montana,16493,16701,16582,16352,15922,17113,17184,17156,17411,16909,17056,16512,19079,18590,18656,19744,20556,20508,20657,21900,22859,22982,25505,27503,26567,26407,26443,26404,28311,27136,26293,26836,26357,26574,26715,26149,26982,27040,26827,28243,28168,28491,28858,29625,29099,29335,29502,29945,31573,31644,32475,33125,33327,34346,35358,35875,37015,38151,38433,37151,37758,38943,40366,39562,39950,41280
31000,Nebraska,15578,15206,16081,15153,15825,14973,14979,16844,17321,17210,17752,17622,18726,18830,19023,20737,21873,21956,22333,23624,23854,24819,26384,28757,26827,28037,27555,27934,29911,28902,27007,28293,28626,28709,30477,31090,31636,32064,32786,33096,33496,33069,33809,33610,34542,35122,36781,36724,38442,39162,39885,40388,40442,42007,42369,42199,42303,43992,44723,43336,43503,46173,47052,47060,47613,48006
32000,Nevada,20289,20857,22244,22565,22142,23215,22630,22597,22472,23571,24310,24621,26088,25692,25583,25854,26372,26973,29232,30367,31386,31866,32791,33609,31990,31830,32807,34023,36021,35288,33959,33474,32436,32628,33280,34070,35092,35482,36875,37439,37132,36903,38132,38311,38954,39419,40199,40610,41571,42290,42985,42544,42004,42955,44849,46946,46927,46798,44302,40801,40128,39772,40711,39907,40790,42185
33000,New Hampshire,13424,13948,14355,14958,15314,16459,16931,17367,16944,17862,18145,18652,19322,19364,20124,20955,22173,22957,23954,24871,24490,24790,25890,26734,26024,25556,26772,27613,28856,29033,28862,29248,29982,31578,33588,35121,37107,38519,39640,39674,37536,37298,37706,37450,38596,39366,39906,41389,43617,44409,47201,47038,46791,46629,48169,48070,49510,49884,49402,48540,49248,50583,52180,51416,52836,54817
34000,New Jersey,17889,18451,19167,20080,19790,20553,21549,21753,20380,21307,21764,22077,23105,23353,24245,25237,26255,27143,28285,29624,30036,30648,32031,32777,32067,31755,32537,33433,34433,34247,33907,34165,34654,36152,38139,39275,40957,42371,44446,45448,44970,43646,45177,44825,44894,46049,46941,48481,50376,51104,53907,53837,53970,53923,54814,55026,56955,57939,57526,55571,55654,56432,56925,56156,57688,59782
35000,New Mexico,12323,12790,13398,13537,13631,14424,14962,15486,15976,16428,15991,16369,16591,16754,17180,17833,18303,18472,19309,19962,20763,21372,22738,23408,23144,23473,24068,24668,25705,25474,24645,24823,24942,25322,26115,26854,26991,26886,27038,27385,27450,27608,28089,28590,28965,29604,29664,30061,30965,30969,32260,33811,33961,33814,34423,35201,35855,36388,36740,35677,35890,36411,36735,35868,37135,38457
36000,New York,18460,18487,18648,19290,19420,20580,21349,21593,21545,22553,22965,23440,24110,24554,25697,26629,27615,28733,30233,29934,30146,30719,31861,32168,31408,31129,31254,31896,32550,32128,31632,31946,32600,33884,35867,37002,38677,39757,41763,42978,43512,41542,42349,41935,42004,42955,43737,44984,46259,47321,48626,48592,47801,47917,49363,50220,52285,54618,53977,52648,53568,54369,55303,54540,55677,57705
37000,North Carolina,10799,11131,11269,11611,11763,12452,12879,12382,12679,13235,13388,13753,14472,14910,15735,16539,17732,18372,19220,20298,20684,21150,22743,23862,23346,22940,23793,24151,25014,24557,23860,24116,24082,25182,26911,27726,29009,29759,30922,31755,31500,31021,32289,32751,33318,33993,34628,35646,37039,37650,38369,38121,37558,37460,38627,39133,39709,40119,39539,38606,38662,38588,39905,38432,39217,40656
