GeoFips,GeoName,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
33000,New Hampshire,688,647,560,429,420,479,503,541,570,537,566,585,719,870,1002,1081,1138,1169,1234,1308,1291,1365,1530,1605,1685,1738,1861,1943,2059,2066,2193,2266,2353,2462,2500,2632,2785,3031,3235,3517,3851,4009,4236,4566,5008,5413,5801,6425,7058,7937,8892,10032,11214,12204,13268,14722,15943,17158,18461,19786,20754,20696,21425,22312,22824,24124,25298,26400,28009,29974,31201,34280,35137,35432,36131,38223,39284,41663,43384,44384,43814,44963,47664,50056,51013
34000,New Jersey,920,850,741,592,528,577,631,715,753,704,757,829,969,1185,1454,1575,1608,1548,1589,1667,1639,1819,2024,2143,2262,2246,2324,2473,2579,2485,2616,2718,2785,2944,3015,3171,3354,3589,3825,4153,4587,4917,5237,5649,6140,6670,7208,7809,8546,9471,10489,11786,13100,14107,15190,16718,17828,18937,20306,22182,23773,24794,25074,26734,27321,28063,29596,31056,32812,34627,35911,39156,40221,40504,41182,43072,44748,48058,50595,51794,50266,50941,53323,54932,55386
35000,New Mexico,405,332,287,208,211,246,293,343,362,338,356,377,476,656,803,908,971,947,1027,1150,1182,1253,1403,1498,1525,1547,1631,1717,1836,1948,2017,1997,2065,2114,2163,2247,2370,2502,2603,2835,3091,3399,3652,4010,4385,4814,5328,5776,6305,7070,7801,8565,9517,10151,10638,11445,12188,12477,12883,13490,14326,15135,15854,16617,17419,18100,19014,19610,20327,21267,21747,23417,25229,25783,26318,27479,29102,30625,31980,33416,32522,33175,34763,35805,35965
36000,New York,1156,1041,888,686,634,688,732,819,848,801,838,883,1012,1191,1417,1569,1682,1727,1754,1792,1747,1877,2028,2085,2173,2204,2327,2450,2560,2627,2769,2868,2957,3072,3170,3361,3539,3775,4049,4439,4635,4935,5249,5619,6026,6533,7066,7502,8154,8952,9839,10994,12249,13270,14237,15721,16796,17882,19053,20841,22477,23986,23864,25060,25557,26254,27604,28945,30464,31785,33240,35307,36281,36153,37048,39331,41578,44888,48372,49285,47946,49582,51941,54099,54462
37000,North Carolina,327,287,244,183,203,247,267,294,321,291,312,323,430,588,713,778,835,876,906,1011,981,1098,1221,1260,1308,1335,1408,1478,1468,1546,1625,1672,1735,1844,1925,2058,2198,2424,2589,2822,3143,3386,3614,4011,4470,4856,5207,5709,6173,6879,7520,8291,9245,9801,10579,11794,12585,13410,14260,15427,16599,17355,17813,19100,19955,20820,21835,22896,24111,25449,26444,27859,28468,28521,29138,30818,32296,33808,35076,35725,34942,35435,36508,38538,38683
38000,North Dakota,377,308,195,178,151,184,271,238,324,282,316,352,521,658,959,1020,1037,1080,1467,1465,1234,1391,1484,1353,1374,1408,1544,1616,1664,1934,1759,1911,1734,2444,2251,2221,2586,2625,2715,2859,3211,3401,3872,4580,6386,6312,6579,6379,6586,8254,8454,8066,10482,11190,11654,12478,12971,13307,13854,12923,14699,16128,16365,17870,18023,19445,19400,21617,21233,23365,23686,25872,26542,27128,29594,29842,31608,32888,36164,40917,40055,43275,47868,56310,53182
39000,Ohio,772,664,564,403,387,457,519,597,651,566,620,664,828,1032,1273,1330,1362,1325,1412,1547,1462,1617,1848,1931,2041,1983,2108,2204,2267,2203,2337,2415,2432,2542,2632,2784,2976,3208,3333,3640,3959,4136,4373,4739,5244,5744,6139,6739,7451,8221,9078,9907,10783,11310,12012,13265,14095,14764,15427,16482,17683,18663,18921,20026,20733,21774,22693,23692,25018,26394,27239,28620,29409,29882,30645,31776,32758,34422,35604,36399,35527,36199,38631,40230,41049
40000,Oklahoma,449,365,294,213,220,250,296,322,374,345,348,374,436,639,802,964,988,961,1031,1148,1184,1167,1323,1442,1522,1507,1563,1646,1716,1861,1923,1977,2008,2053,2112,2256,2423,2584,2782,3029,3329,3625,3872,4185,4680,5136,5661,6114,6696,7478,8513,9578,10987,11848,11811,12685,13271,13409,13533,14308,15338,16177,16514,17347,17861,18498,19144,20075,20984,22110,22783,24802,26563,26917,27727,29212,31174,33755,34648,37648,34659,35912,38980,41399,41861
41000,Oregon,665,605,503,377,357,436,459,546,556,531,570,611,822,1132,1403,1402,1372,1391,1516,1665,1627,1681,1861,1945,1953,1908,2023,2120,2107,2158,2297,2339,2409,2516,2602,2750,2913,3089,3260,3506,3774,4033,4330,4752,5248,5841,6360,7031,7651,8533,9394,10154,10858,11143,11879,12829,13428,14105,14754,15834,17130,18056,18554,19432,20356,21391,22568,23873,24927,26091,26950,28867,29334,29415,30160,31613,32564,34666,35818,36797,35671,35898,37707,39258,39848
42000,Pennsylvania,776,717,605,455,423,487,524,608,643,570,609,659,786,965,1169,1272,1305,1306,1379,1443,1409,1559,1726,1805,1912,1844,1933,2084,2197,2188,2260,2319,2357,2466,2542,2696,2866,3078,3289,3553,3864,4133,4358,4748,5209,5732,6245,6819,7487,8267,9141,10022,11068,11830,12412,13428,14310,15049,15908,17177,18573,19587,20258,21269,21943,22605,23578,24750,25980,27357,28514,30482,31516,32138,33074,34668,35916,38096,39904,41165,40636,41635,43806,45577,46202
44000,Rhode Island,881,794,718,583,568,608,655,721,741,683,731,766,958,1189,1246,1312,1317,1406,1489,1469,1414,1602,1778,1834,1930,1932,2041,2082,2108,2196,2314,2357,2459,2605,2700,2846,3046,3306,3545,3818,4011,4298,4487,4823,5138,5520,6024,6548,7127,7805,8679,9836,10913,11703,12597,13804,14739,15702,16651,18231,19779,20181,20211,21118,21968,22500,23695,24453,25781,27409,28361,30201,31568,32657,33984,35495,36539,38838,40819,41878,41310,43013,44571,46257,46989
45000,South Carolina,267,239,203,156,172,207,228,256,271,248,275,314,415,580,675,753,772,792,803,929,888,946,1162,1243,1280,1216,1278,1313,1344,1374,1455,1500,1563,1665,1735,1852,2031,2258,2422,2659,2955,3219,3442,3783,4197,4638,4949,5448,5858,6505,7181,7918,8785,9258,9980,10990,11663,12313,13052,14054,15096,16003,16367,17201,17868,18740,19607,20584,21544,22790,23694,25124,25840,26248,26881,28062,29361,31117,32357,33163,32417,32669,34079,35347,35831
46000,South Dakota,415,357,242,189,136,189,305,247,321,317,341,357,470,755,853,976,1083,1121,1254,1506,1124,1300,1523,1359,1484,1507,1388,1469,1733,1809,1619,1938,1922,2152,2078,2058,2346,2570,2657,2855,3114,3394,3691,4223,5317,5326,5871,5755,6508,7491,8242,8275,9636,10182,10569,11888,12194,12778,13450,13974,15075,16495,17033,18215,18802,20008,20219,22215,22621,24414,25629,27260,28440,28613,31061,32615,33450,33920,37188,40364,39181,40613,44439,45676,46039
47000,Tennessee,373,321,273,194,201,242,263,302,332,298,310,339,440,570,745,879,926,881,897,972,962,1043,1143,1203,1304,1305,1355,1454,1513,1559,1647,1666,1741,1821,1908,2023,2188,2395,2538,2814,3032,3262,3537,3904,4377,4771,5135,5651,6159,6927,7600,8256,9134,9674,10297,11393,12136,12929,13798,14878,15869,16733,17322,18652,19518,20382,21487,22313,23279,25288,26101,27483,28126,28650,29526,30933,31736,33125,34181,35080,34439,35426,37151,39002,39558
48000,Texas,473,407,345,262,254,291,325,372,418,404,417,438,538,742,970,1068,1082,1061,1154,1220,1318,1392,1524,1607,1643,1683,1754,1840,1916,1937,2013,2020,2093,2146,2217,2350,2503,2709,2928,3193,3481,3768,3991,4335,4816,5320,5912,6485,7074,7983,8941,9945,11372,12020,12446,13428,14210,14293,14527,15372,16301,17358,17806,18869,19525,20194,21154,22291,23794,25463,26418,28341,29686,29350,30024,31081,33203,35469,36863,39644,36946,38065,41016,43271,43862
49000,Utah,548,494,372,304,297,314,391,463,447,446,460,484,601,907,1165,1078,1153,1122,1197,1282,1289,1385,1594,1651,1658,1631,1728,1822,1935,1959,2042,2111,2173,2307,2360,2473,2577,2702,2825,3005,3231,3535,3833,4154,4483,4891,5302,5809,6348,7036,7661,8263,9054,9569,10002,10846,11490,11916,12358,13047,13886,14858,15513,16284,17013,17871,18967,20109,21213,22400,23374,24770,25703,25915,26290,27532,29421,31780,33624,34243,32413,32447,34235,35891,36640
50000,Vermont,630,572,471,362,337,381,414,469,485,457,491,518,650,782,946,962,1047,1097,1132,1204,1129,1171,1346,1392,1444,1474,1543,1679,1747,1762,1859,1954,2031,2115,2171,2314,2506,2786,2944,3188,3441,3696,3930,4253,4611,4939,5322,5850,6256,7086,7861,8717,9763,10489,11112,12185,13086,14003,15058,16181,17655,18076,18257,19401,19961,20753,21684,22664,23741,25369,26695,28547,29972,30544,31846,33728,34523,36760,38669,40137,39549,40134,42968,44443,45483
51000,Virginia,435,387,371,286,286,323,354,394,426,394,431,480,614,847,887,938,987,1051,1052,1204,1187,1330,1516,1618,1651,1681,1759,1835,1873,1901,2012,2058,2135,2257,2372,2570,2741,2937,3176,3474,3873,4161,4509,4925,5421,5923,6410,6965,7610,8508,9406,10534,11658,12494,13343,14641,15664,16618,17579,18902,20150,20831,21423,22421,23239,24129,25013,25943,27332,28898,30468,32453,33706,34343,35932,37759,39841,42085,43927,44901,44056,44836,47076,48715,48838
53000,Washington,740,657,534,402,376,442,491,570,601,583,617,667,885,1233,1507,1557,1451,1433,1532,1667,1646,1786,1945,2051,2152,2166,2202,2257,2352,2359,2460,2518,2622,2771,2824,2952,3177,3485,3676,3971,4244,4379,4571,4929,5501,6116,6783,7374,8008,9050,10064,11019,12063,12657,13407,14246,14938,15801,16478,17521,18950,20158,21045,22132,22738,23488,24346,25768,27281,29420,31065,32865,33225,33548,34609,36689,37638,40127,42829,44143,42137,42547,44565,47055,47717
54000,West Virginia,458,407,354,256,258,313,338,391,419,371,390,409,500,617,748,829,900,932,1036,1109,1019,1054,1183,1249,1279,1229,1324,1485,1604,1594,1640,1667,1713,1806,1899,2024,2177,2324,2470,2626,2828,3148,3408,3717,4045,4461,4969,5425,5977,6602,7294,7970,8677,9214,9482,10289,10833,11244,11680,12644,13567,14560,15115,16220,16717,17400,17936,18672,19493,20312,20857,22096,23292,24212,24721,25536,26415,28258,29227,30999,31259,31798,33954,35140,35533
55000,Wisconsin,670,584,469,362,333,380,461,518,551,508,515,548,673,872,1065,1116,1191,1215,1299,1432,1386,1509,1744,1808,1845,1781,1885,2001,2070,2081,2227,2260,2306,2413,2457,2614,2787,3017,3164,3427,3749,3979,4239,4596,5104,5583,6079,6646,7380,8213,9135,9984,10857,11439,12061,13227,13909,14656,15397,16202,17553,18372,18854,20129,20926,22007,22896,24012,25293,26888,27803,29384,30473,31112,31994,33393,34366,36282,37675,38733,38380,38728,40780,42475,43244
56000,Wyoming,672,582,477,375,372,414,498,552,606,560,586,602,792,974,1171,1242,1274,1365,1512,1631,1693,1778,2009,1973,1993,1923,1990,2100,2216,2239,2329,2360,2440,2555,2592,2649,2792,2941,3157,3349,3683,4017,4381,4829,5533,6276,6815,7249,8131,9279,10343,11494,12670,12938,12699,13388,14140,14164,14158,14813,16457,17973,18641,19449,20242,20859,21609,22421,23946,25404,27067,28930,30703,31360,33329,35656,39183,44344,45770,49040,43488,45025,49260,52469,52826
