State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Pennsylvania,3341696,3247944,3390319,3391891,3431498,3485781,3587240,3690890,3806689,3830087,3833330,3917251,3958533,4067818,4115361,4209450,4276495,4305124,4389786,4458218,4422029,4400871,4478200,4456902,4551428,4606347,4680718,4536803,4472083,4576353,4687312,4701169
Rhode Island,275350,283168,298472,300345,312986,324582,326997,328191,323969,313860,305915,311670,310949,324940,323989,333337,341973,343820,348038,350999,358228,366987,376859,382838,383870,387751,382792,363969,355106,365587,368290,373970
South Carolina,765454,752201,803192,839234,852206,880318,908525,947896,992789,992069,1031377,1078922,1117017,1164075,1178725,1204492,1253425,1278427,1311194,1329098,1286505,1285721,1297668,1335424,1377852,1395956,1416650,1336743,1304671,1332843,1364774,1399048
South Dakota,128697,128898,138847,154875,154514,160439,153974,161702,168582,179321,188785,201185,209103,220288,224946,233204,243086,246592,253223,264047,259050,250657,260109,265215,278001,282833,288512,286875,283734,282965,294353,297178
Tennessee,1130712,1159899,1231131,1291944,1340521,1370405,1410383,1481260,1530309,1533424,1575562,1650810,1712973,1805588,1835151,1894302,1956884,1982616,2037269,2039622,1987906,1992620,2038104,2081540,2156248,2183169,2185209,2061793,2021829,2060234,2113108,2156350
Texas,4028642,3957904,4126699,4273878,4226632,4180552,4243678,4431222,4591664,4712523,4803698,5015572,5116465,5361076,5560678,5816972,6089547,6288991,6547486,6708228,6602493,6595079,6717178,6913384,7207017,7490801,7686649,7518341,7422731,7651407,8022021,8279645
Utah,324269,321209,347268,362973,375924,390190,388906,420142,438740,467754,491610,517508,560408,595404,620099,656355,665942,688621,721639,739776,748509,747591,777787,796385,836652,886000,910775,888189,861246,873908,915971,933511
Vermont,125083,129281,137996,151371,156907,165909,156841,166374,167427,163113,169206,177526,180279,187176,187990,195251,202388,207574,215155,224516,222190,219513,220015,223640,230064,237869,240563,231210,230637,235613,231341,238640
Virginia,1314129,1333193,1410388,1508303,1587694,1677671,1740398,1822431,1883805,1846999,1880210,2035999,1997752,2072303,2106082,2207044,2267753,2354511,2442737,2504608,2508017,2513749,2617771,2652091,2730533,2754414,2752406,2664444,2626162,2669294,2728674,2786758
Washington,904865,948313,1000036,1046940,1085874,1109586,1144894,1215729,1333889,1375792,1421436,1488115,1522636,1567346,1613110,1654825,1715821,1763030,1825889,1863482,1837483,1851296,1913316,1967956,2041769,2119241,2157838,2074698,2018534,2013574,2060882,2117049
West Virginia,379093,349343,354376,364529,357534,358301,354885,366307,380031,393126,399874,409239,422653,438906,442127,456868,464560,466110,479482,479639,486371,484337,490074,493898,506592,510001,512759,506012,495728,501838,517018,521273
Wisconsin,1273448,1262157,1345333,1352860,1364120,1406906,1476185,1547750,1609890,1634819,1680467,1758070,1809696,1881893,1917962,1969955,2009725,2042207,2089705,2091291,2065770,2077637,2131045,2167920,2195736,2219076,2239769,2134989,2105418,2143505,2193371,2209315
Wyoming,101195,92725,96926,99958,97097,90011,89427,94488,100713,106836,109302,113623,117900,121789,120591,122281,123792,132852,137087,140041,141083,142528,151146,154942,165160,171959,179887,174438,166618,172245,177043,181574
