State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Oregon,109.46,109.46,111.365,113.27,131.845,150.42,153.97,157.52,146.19,134.86,129.6,124.34,141.185,158.03,185.08,212.13,190.22,168.31,178.255,188.2,206.195,224.19,208.775,193.36,166.135,138.91,138.91
Pennsylvania,60.43,60.43,61.965,63.5,72.62,81.74,91.15,100.56,96.975,93.39,96.915,100.44,125.57,150.7,163.41,176.12,165.25,154.38,144.445,134.51,137.64,140.77,129.39,118.01,112.81,107.61,107.61
Rhode Island,67.75,67.75,74.74,81.73,78.09,74.45,75.045,75.64,74.515,73.39,96.025,118.66,160.565,202.47,196.29,190.11,171.695,153.28,147.605,141.93,143.495,145.06,142.645,140.23,125.26,110.29,110.29
South Carolina,0.83,0.83,0.925,1.02,4.565,8.11,11.025,13.94,17.435,20.93,32.74,44.55,53.15,61.75,58.56,55.37,42.12,28.87,39.285,49.7,48.45,47.2,45.32,43.44,47.31,51.18,51.18
South Dakota,1.23,1.23,1.64,2.05,13.205,24.36,34.04,43.72,51.59,59.46,54.21,48.96,47.695,46.43,31.4,16.37,15.825,15.28,17.385,19.49,19.74,19.99,24.97,29.95,33.515,37.08,37.08
Tennessee,54.46,54.46,52.49,50.52,57.515,64.51,62.115,59.72,53.705,47.69,50.425,53.16,51.45,49.74,53.31,56.88,57.68,58.48,56.445,54.41,55.015,55.62,48.03,40.44,37.28,34.12,34.12
Texas,36.45,36.45,38.245,40.04,47.455,54.87,57.66,60.45,59.04,57.63,58.38,59.13,76.01,92.89,97.135,101.38,87.58,73.78,69.275,64.77,64.215,63.66,59.635,55.61,51.65,47.69,47.69
Utah,196.35,196.35,205.3,214.25,188.05,161.85,161.71,161.57,153.45,145.33,150.88,156.43,168.65,180.87,172.74,164.61,150.055,135.5,128.615,121.73,113.11,104.49,133.45,162.41,144.99,127.57,127.57
Vermont,97.73,97.73,94.03,90.33,148.615,206.9,197.295,187.69,190.985,194.28,173.92,153.56,198.475,243.39,250.425,257.46,239.795,222.13,238.285,254.44,242.01,229.58,221.26,212.94,202.98,193.02,193.02
Virginia,151.68,151.68,164.64,177.6,219.265,260.93,273.375,285.82,264.77,243.72,252.84,261.96,298.22,334.48,335.05,335.62,335.91,336.2,338.245,340.29,322.065,303.84,270.24,236.64,224.015,211.39,211.39
Washington,73.53,73.53,82.04,90.55,109.765,128.98,129.105,129.23,122.825,116.42,120.715,125.01,155.93,186.85,184.54,182.23,160.71,139.19,135.195,131.2,125.06,118.92,104.785,90.65,85.04,79.43,79.43
West Virginia,7.91,7.91,4.22,0.53,1.5,2.47,9.77,17.07,23.87,30.67,40.99,51.31,91.29,131.27,118.105,104.94,75.27,45.6,44.335,43.07,42.86,42.65,35.1,27.55,21.82,16.09,16.09
Wisconsin,34.17,34.17,34.365,34.56,42.5,50.44,52.5,54.56,53.84,53.12,58.365,63.61,77.17,90.73,96.07,101.41,101.13,100.85,110.31,119.77,117.585,115.4,103.355,91.31,77.805,64.3,64.3
Wyoming,7.72,7.72,4.26,0.8,5.365,9.93,40.875,71.82,69.145,66.47,94.945,123.42,118.98,114.54,107.615,100.69,88.94,77.19,60.425,43.66,53.13,62.6,57.515,52.43,53.78,55.13,55.13
