State,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Iowa,NA,NA,12218642,10230298,1465968,4181000,7881644,3687647,5393426,6414103,7010708,18970034,14532120,12852275,23178514,24127395,35084594,32258230,51754883,36393708,17592461,17345424,10389716,6479046
Kansas,NA,NA,246388,372789,395956,649078,992271,789766,1172563,1101536,1279446,2112784,2997245,1685522,6228683,1661665,1930743,2650274,2916106,2423205,2399165,11445681,13958345,12766497
Kentucky,NA,NA,896432,1153144,1153144,1885765,2600410,2453278,2545418,2733739,2331871,1545426,781288,870275,982617,956547,1890534,1342321,2137410,2319182,1699473,1628264,5234487,7539154
Louisiana,4200000,2800000,3914853,4075603,5433759,5954308,6653800,7133514,8758040,8153079,9021743,13115587,11946675,7888412,13082043,12328947,11629728,8412631,15892685,16317382,14860593,20983356,13984665,13095456
Maine,10000,3500,80,NA,NA,NA,0,0,0,2000,NA,0,225000,NA,NA,NA,NA,NA,1200000,1200000,1375861,1495122,1808020,2190106
Maryland,1992333,2892915,2934581,3243775,2677794,4646111,6219687,7632727,11973157,15776329,8182923,9279069,7728656,7809578,13671591,16553398,15246218,14712235,16049313,15753761,17989719,18496407,18352947,19178682
Massachusetts,9168721,19196811,18633159,20295220,26569967,25035342,49877624,43625295,52895841,84333343,176212297,128017169,149345601,179522670,231238133,453051798,504972019,232319313,250749990,252858551,264285313,339886193,230808069,259811091
Michigan,12361597,14463220,15762337,16703761,16975907,18693577,20364780,32367718,27920066,30482508,40370329,38812217,48091385,51417906,44295654,29123963,23425218,53854468,23222848,44674820,20247885,18375093,17965872,22923994
Minnesota,2521997,3354520,3932104,5025757,6660282,16725876,9635297,9004980,10977743,28506347,30878220,34105729,49149783,68186713,63163569,82074241,87526872,108770976,116902079,106369543,38396544,74406788,65808707,67572148
Mississippi,0,0,247574,283399,109403,104965,116883,169958,NA,176212,271745,854368,515827,3493096,1593199,2011497,1917655,509535,463520,438963,608180,363314,249984,1071400
Missouri,1832843,3496180,3600000,4665184,5953563,10838330,7628244,6491084,9445334,11048417,12649567,9922257,17244559,14138876,21304134,13954199,16682676,22429051,16702188,15127365,13131997,12049702,7749153,18676418
Montana,NA,NA,NA,65117,128308,165485,194313,192050,325100,126507,4725,135739,113100,76262,103636,219931,152805,272828,288608,273790,261497,554373,446786,275345
Nebraska,NA,NA,47000,10000,5000,823866,640925,882643,920611,1310127,206221,969687,2362438,1244269,1786060,1630205,2449252,2452336,2273608,5640881,16752176,9524695,9027315,6171681
Nevada,NA,NA,NA,NA,NA,NA,NA,NA,NA,129887,NA,127109,43927,63244,25000,103628,96371,97553,164366,109941,117000,79499,113206,0
New Hampshire,87000,66000,143615,169119,424570,617741,513785,644377,535025,68505597,993130,876968,1038401,890244,1038479,3469083,2748855,5178582,2146132,2632177,6872789,17573148,1862586,1501212
New Jersey,1827166,2631824,2989706,2811000,3392500,4193737,7258874,6039665,5829867,7560997,6555245,4062446,5384028,4332911,6920211,10151082,8528726,8412523,8576485,9204557,121452610,136758522,142957880,157536500
New Mexico,NA,NA,42525,11470,19869,296751,365033,379720,401992,80213,158809,83825,224954,399449,792407,895988,801881,741138,912688,3787830,3117915,2570603,1702016,1072923
New York,26769503,35729434,62005476,71108911,100236485,122139597,139380369,137498557,221426452,248822648,287800652,355571057,270822427,305882242,272269529,277983731,1024971183,584591072,500268333,554314499,560436783,635512078,607188621,681981097
North Carolina,1218543,1577203,2835173,4265687,4865495,1491799,7002704,9242890,13932640,10894885,20073541,28084905,30827826,47419844,58960350,67653591,80652897,109602022,123758428,119900580,77521353,33931484,39884134,51490363
North Dakota,NA,NA,0,NA,331997,676518,1021804,1103800,1062524,981535,1032979,1216418,1071810,1932101,1669389,1210665,1323738,1487811,1539570,1884361,1930120,2133217,2321205,2189601
Ohio,2977795,2345004,3589068,4440720,4338939,6278736,7406066,10319075,9983995,10748684,14571314,16259471,18526318,21534598,27240366,28423770,39590419,50700616,44670063,57217285,25316369,35268760,28022514,35697659
Oklahoma,10000,168500,NA,19000,404249,449251,1943754,940987,880228,6938479,1037286,3851258,3415329,4788910,4321657,4463822,4319745,17145346,1896381,1871880,2543712,3600230,3409783,5402155
Oregon,365379,433223,788325,1018149,1283274,1052117,1003432,1267537,1356416,3129594,1962568,2420596,3867401,4256285,5978877,6917989,8621654,13978482,11224190,11294887,11626430,12762654,17705806,14290059
Pennsylvania,690863,985456,6329175,9328771,9247577,14894614,19617823,46936768,16620088,39117150,8339123,16306601,23587566,22783813,25144524,75122765,38342884,229031269,43345863,38657426,48426692,68708653,107379150,88306722
Rhode Island,NA,NA,711270,670841,962000,2078685,388962,1224562,1832901,3374974,2987058,2356185,2335995,2094956,3048272,900166,539472,344642,690479,200752,NA,1593000,2321000,1861000
South Carolina,1507423,1648757,4330000,4407300,4380576,4630439,4675171,4426644,4944955,5206278,5083801,4973916,2731522,4229177,2957065,3459360,3564536,3933546,3427470,1782938,4269552,3460525,1623372,1764778
South Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,779048,996942,1333837,3668742,1379853,2939816
Tennessee,126594,479691,1171109,1671563,1597098,2651886,2022478,2558610,2360924,3779298,4223025,13555697,10869549,6696000,7782936,12088807,12731502,14779982,16169403,9518776,15013264,14477836,4137675,36558399
Texas,2769502,3936432,5293856,6859164,8342386,13283966,17815088,23408032,32001001,37840461,29274384,40883622,37563499,34947214,48374756,47591471,48786015,56415608,53816163,60106946,93737116,95258829,44331402,92672161
Utah,1751310,1848455,2001155,2977805,4547009,5273685,5261384,4892556,7553997,9833340,7570434,7948646,12088179,20324507,19981390,19860059,20393346,31217332,15747488,42356181,41272373,40502491,1818121,77729491
Vermont,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97482,218012,NA,NA,NA,NA,171324,247226,319482,418048,NA,527000
Virginia,76500,303300,4188596,5525029,6812881,4465411,4780194,4881140,5983542,6688194,10485714,7863471,9622182,9099644,29876283,8484329,10949722,9632274,10758282,10968297,10074411,9724261,83503,7781837
Washington,2953301,3528724,15436430,13079314,11034987,9826435,12738340,24116598,30002356,30964862,28141925,26803288,30620623,28159843,33086417,40362916,67430132,85864501,97384028,82473097,81107080,88032072,10684882,23966266
West Virginia,NA,NA,NA,0,0,NA,20000,NA,41800,49000,NA,NA,NA,NA,NA,NA,NA,72240,136971,147218,148531,128665,NA,104767138
Wisconsin,11811109,12489683,15822400,8348713,12380000,13092708,17255808,16130000,18513340,23517727,24230361,32636267,38510463,48617680,49537646,42863213,46985273,54936935,56880784,54966447,58156035,42255305,241547,43622975
Wyoming,NA,NA,NA,NA,NA,NA,NA,NA,NA,12500,77500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
