Series ID,State,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
SMU24000000000000001,Maryland,490.1,529,620.9,713.5,760.3,707.2,650.5,648.9,672.3,696.2,684.7,715.2,768.2,791.9,813.7,801.5,834.2,869.1,880.6,853.8,874.5,894.7,908.6,946.7,978.7,1009.6,1057.5,1132.1,1178.5,1223.8,1272.4,1349.2,1371.5,1415,1471.5,1493.6,1479.3,1498.3,1545.5,1625.5,1691.4,1712,1715.8,1675.6,1723.8,1814,1887.8,1952,2028,2102.3,2155.2,2173.2,2102.5,2083.6,2104.5,2147.7,2184.4,2213.3,2269.1,2325.7,2391.8,2455.1,2471.5,2480,2486.5,2517.1,2554.9,2588.5,2607.3,2598.7,2522.3,2516.7,2542.1,2573.7,2596.9,2620.9,2659.3,2696.8,2725.2,2744.3
SMU25000000000000001,Massachusetts,1367.6,1424.4,1586.6,1675.3,1755.1,1701.2,1643.2,1697.2,1727.2,1756.5,1707.7,1757.1,1819,1806.1,1841.1,1788,1814.5,1860,1864.6,1817,1880.7,1901.1,1911.1,1942.7,1943.2,1958.1,2015.8,2097.4,2147.9,2187.9,2249.4,2243.5,2211.4,2251.7,2333.4,2353.8,2273.1,2323.5,2416.1,2526.3,2603.5,2654.3,2671.8,2642,2696.5,2855.8,2931.2,2992.1,3071.2,3138.2,3118.2,2987.9,2824.8,2799.1,2844.5,2908.3,2982,3041.7,3116.5,3187,3250.4,3338.4,3350,3272.2,3214,3212.6,3231.2,3267.1,3305.3,3317.7,3211,3222.4,3259.5,3311.2,3366.7,3434,3492.9,3565.1,3611.7,3642.9
SMU26000000000000001,Michigan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2477.8,2443.7,2203.1,2296.7,2349.8,2244.9,2334.9,2410.4,2512.9,2685.3,2861,2900.5,2959.7,3081.1,2999.1,2995,3118.9,3284.4,3277.7,3136.6,3283,3442.3,3609.4,3637.1,3442.8,3364.4,3193.3,3223.1,3381,3561.5,3657.3,3735.8,3819.3,3922.4,3944.1,3882.7,3916.8,3997,4139.3,4266.8,4351.4,4437.7,4512.5,4583.8,4675.7,4563.7,4486.9,4416.2,4399.2,4389.9,4326.8,4268.1,4162.5,3870.8,3863.6,3952.1,4033.7,4109.7,4182,4243.7,4319.7,4369.1,4418.6
SMU27000000000000001,Minnesota,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,802.3,835,842.9,873.6,862,881.1,908.4,919.9,907.7,931.6,958.7,956.6,984.5,1001.7,1028,1080.6,1148.3,1199.8,1243.4,1299.8,1315.3,1310.2,1357.1,1436.1,1481,1474.4,1520.9,1597.3,1689.3,1767,1770.2,1761.3,1707.3,1718.4,1819.8,1865.5,1892.5,1962.5,2028.1,2086.8,2135.9,2146,2194.2,2251.9,2319.6,2387.8,2442.5,2500,2564.3,2622.3,2684.9,2689.5,2664.5,2660.3,2681,2723.3,2758.1,2771.1,2762.6,2654.6,2640.6,2687.8,2729.8,2776,2814.5,2856.3,2893.9,2932.4,2954.4
SMU28000000000000001,Mississippi,203,213.2,245.8,276.7,286.5,279.4,268.1,280.3,291.2,302.6,296.7,311.6,333.7,339.6,344.1,339.5,354,364.4,366.9,381.3,397.2,404,408.7,425.7,443.8,460.2,486.6,521.6,535.1,551.9,573,583.9,602.2,649.3,693.2,710.8,692.3,727.5,765.9,813.7,838.1,829.3,819.1,790.9,792.8,820.8,838.9,848.2,864.4,896.2,919.3,937.8,938.8,961.5,1003.5,1056.9,1075.8,1090.3,1108.4,1135.2,1154.7,1155,1131.4,1125.1,1116.4,1126.1,1131.7,1142.6,1154.2,1149,1097.6,1092.5,1092.9,1102.3,1111.3,1121,1134.2,1146.3,1151.6,1154.8
SMU29000000000000001,Missouri,838.7,866.6,975,1053.1,1104.1,1071.7,1058.8,1085.9,1141.3,1167.4,1147.6,1190.2,1262.5,1294.1,1314,1272.7,1292.1,1319.7,1327.9,1303.6,1338.6,1350.1,1332.5,1357.3,1383.6,1418.4,1478.3,1554.2,1595.6,1631.3,1672.2,1668.1,1660.9,1700.1,1770.8,1789.3,1740.6,1797.8,1861.9,1953.2,2011.2,1969.8,1956.5,1922.5,1937,2032.7,2094.7,2142.6,2197.8,2258.9,2315,2345,2309.1,2333.7,2394.3,2470.6,2521,2567.6,2639.5,2684.3,2727,2749,2731,2699.8,2681.7,2696,2737.3,2776.7,2797.8,2793.2,2689.7,2658.4,2666.7,2685.2,2711,2739.2,2785,2848.2,2874.1,2887.4
SMU30000000000000001,Montana,108.1,113.6,118.5,119.2,116.5,115.5,115.4,125.6,136.8,143.7,145.4,147.2,149.2,153.4,154.7,155.5,160.3,166.5,162.8,160.5,163.2,165,165.2,169.8,172.7,174.3,179.3,184.7,188,192.6,195.6,199.1,204.8,215.4,224.2,234,238.2,251.1,264.9,280.4,283.9,280.4,281.9,273.7,276,281.1,279.1,275.4,274.1,282.9,291,297.3,303.7,316.6,325.7,340.4,351.6,361.8,367,375.7,383.5,391.2,391.4,395.7,400.3,410.8,420.3,434.1,444.1,444.8,428.9,428.1,431.1,440.3,448.6,453.1,460.7,467.8,472.3,477.6
SMU31000000000000001,Nebraska,223.6,223.5,237.7,271.1,289.7,289.8,287.4,283,304.4,316.6,314.9,322.3,336.9,347.7,352.3,351.7,358.2,360,359.3,360.1,372.4,384.4,390.5,396.4,401.9,408.9,418.7,434.2,449.3,458.9,474.4,484.3,490.9,517,541.3,562.1,557.8,572.1,593.7,610.1,631.2,627.6,623.2,609.8,610.8,635.4,650.5,652.5,667.2,688.1,708,731,740.8,752.3,769.6,799.1,820.3,839,858,879.9,896.1,913.1,919.5,911,913.7,921.3,934,945.5,961.7,969.5,949.8,945.1,952.6,968.8,980.4,992.9,1006.3,1015.1,1018.8,1023.1
SMU32000000000000001,Nevada,34.8,37.5,41.8,58.5,55.8,48.9,48.1,53.1,53.6,53.1,51.4,53.8,58.6,66.1,72,76.1,84.3,85.7,88.2,88.2,95.9,103.3,109.7,126.9,142.7,149.4,157.3,162,166.1,177.3,193.5,203.2,210.5,223.5,244.6,256,263.1,279.8,308.2,350.2,383.7,399.9,411.1,401.1,402.8,426,446.4,468.1,500.2,537.6,581,621,628.6,638.7,671.5,738.1,786.1,842.9,890.7,925.9,983,1026.9,1051.4,1052,1088.3,1152.7,1223,1279.6,1292.5,1263.6,1148.2,1117.8,1125.7,1144.8,1174.3,1216.9,1257.6,1298.9,1341.3,1386.5
SMU33000000000000001,New Hampshire,147.7,148.8,163.6,161.7,150.3,148,148.9,163.4,170.3,174.6,165.7,170.3,177,177.9,177.9,177.1,183.6,187,188.9,187.7,196.1,200.7,201.9,207.9,208.8,212.8,220.8,235.2,244,251.8,259.2,258.5,259.9,278.5,297.8,300.3,292.8,313.4,337.1,359.7,378.5,385.4,394.6,394.4,409.5,441.6,466.1,490.1,512.8,529,529.1,508,482,486.9,502.4,523,539.6,553.6,570.1,588.9,605.7,621.9,627.1,618.2,617.7,627.2,636.5,642.9,648.1,649.6,628.4,624.6,628,634.3,639.5,646.6,656.2,668.4,675.7,681
