Series ID,State,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
LAUST300000000000003,Montana,0.06,0.063,0.057,0.052,0.061,0.068,0.085,0.086,0.076,0.077,0.079,0.074,0.066,0.058,0.06,0.069,0.067,0.06,0.052,0.057,0.053,0.053,0.055,0.053,0.05,0.045,0.044,0.047,0.048,0.044,0.035,0.036,0.051,0.068,0.073,0.07,0.06,0.054,0.047,0.041,0.041,0.039,0.037
LAUST310000000000003,Nebraska,0.032,0.034,0.031,0.03,0.039,0.042,0.056,0.056,0.045,0.052,0.05,0.044,0.036,0.029,0.023,0.027,0.029,0.028,0.026,0.026,0.027,0.025,0.026,0.028,0.028,0.031,0.036,0.039,0.039,0.038,0.031,0.03,0.033,0.046,0.046,0.044,0.04,0.038,0.033,0.028,0.031,0.029,0.028
LAUST320000000000003,Nevada,0.088,0.067,0.045,0.049,0.062,0.072,0.099,0.096,0.079,0.077,0.062,0.061,0.052,0.047,0.047,0.058,0.067,0.068,0.062,0.056,0.05,0.044,0.042,0.04,0.042,0.052,0.056,0.051,0.043,0.041,0.04,0.045,0.067,0.113,0.135,0.131,0.112,0.095,0.078,0.068,0.057,0.051,0.046
LAUST330000000000003,New Hampshire,0.065,0.054,0.038,0.032,0.045,0.052,0.068,0.055,0.043,0.037,0.028,0.023,0.024,0.035,0.057,0.073,0.073,0.061,0.047,0.04,0.038,0.033,0.028,0.027,0.027,0.034,0.045,0.043,0.038,0.036,0.034,0.035,0.039,0.062,0.058,0.054,0.055,0.051,0.043,0.036,0.029,0.027,0.025
LAUST340000000000003,New Jersey,0.104,0.094,0.073,0.069,0.072,0.074,0.087,0.08,0.062,0.056,0.05,0.041,0.038,0.041,0.05,0.067,0.084,0.076,0.068,0.064,0.061,0.053,0.046,0.045,0.037,0.043,0.058,0.058,0.048,0.045,0.047,0.043,0.053,0.091,0.095,0.093,0.093,0.082,0.066,0.059,0.05,0.046,0.041
LAUST350000000000003,New Mexico,0.089,0.076,0.059,0.064,0.076,0.073,0.092,0.097,0.078,0.083,0.093,0.087,0.075,0.067,0.066,0.071,0.072,0.07,0.065,0.066,0.072,0.063,0.061,0.056,0.049,0.049,0.055,0.059,0.055,0.051,0.042,0.038,0.045,0.075,0.081,0.076,0.071,0.069,0.065,0.065,0.066,0.059,0.049
LAUST360000000000003,New York,0.102,0.091,0.078,0.072,0.075,0.076,0.085,0.087,0.072,0.066,0.062,0.049,0.043,0.05,0.053,0.072,0.086,0.079,0.069,0.063,0.062,0.064,0.056,0.052,0.045,0.048,0.061,0.064,0.058,0.05,0.045,0.046,0.054,0.083,0.086,0.083,0.085,0.077,0.063,0.053,0.049,0.047,0.041
LAUST370000000000003,North Carolina,0.063,0.059,0.045,0.048,0.064,0.065,0.092,0.09,0.067,0.056,0.053,0.045,0.036,0.035,0.041,0.058,0.06,0.05,0.044,0.043,0.043,0.037,0.035,0.032,0.037,0.055,0.066,0.064,0.055,0.052,0.047,0.047,0.061,0.106,0.109,0.102,0.092,0.079,0.061,0.057,0.051,0.045,0.039
LAUST380000000000003,North Dakota,0.037,0.045,0.043,0.04,0.049,0.048,0.056,0.057,0.053,0.057,0.059,0.05,0.047,0.043,0.04,0.044,0.047,0.043,0.037,0.032,0.029,0.027,0.029,0.033,0.03,0.029,0.037,0.037,0.034,0.034,0.032,0.031,0.032,0.041,0.038,0.035,0.031,0.029,0.028,0.029,0.031,0.027,0.026
LAUST390000000000003,Ohio,0.078,0.065,0.055,0.058,0.084,0.094,0.127,0.124,0.095,0.089,0.083,0.071,0.06,0.055,0.056,0.065,0.074,0.066,0.056,0.048,0.05,0.046,0.043,0.043,0.04,0.043,0.057,0.062,0.063,0.059,0.054,0.056,0.064,0.103,0.103,0.088,0.074,0.075,0.057,0.049,0.05,0.05,0.046
