State,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Nevada,299990,326855,356836,381016,403078,429828,434454,439457,460205,476503,498051,522417,551728,575600,638342,661785,683228,716242,761851,797192,846416,898496,937387,979646,1022462,1054262,1066121,1088787,1126943,1173709,1233287,1270572,1272187,1196758,1174774,1194264,1222710,1248122,1278808,1312101,1342473,1384605,1431959
New Hampshire,371686,395593,418155,437680,445531,452885,454002,470832,498275,520847,545821,569057,585505,592136,585013,569453,569430,579593,595329,606153,613822,627666,643056,656962,669621,673778,670880,677030,689150,700026,706777,712008,714104,697802,695135,696532,700371,703534,711551,720362,729892,733985,742512
New Jersey,2964485,3067115,3215693,3325521,3333840,3337050,3309981,3392898,3574967,3627926,3707802,3799670,3822310,3832534,3850728,3793819,3723909,3713835,3782009,3857473,3946654,4039773,4051531,4094559,4123717,4106225,4095174,4093686,4138830,4194895,4236485,4251815,4263965,4138570,4121455,4138464,4159986,4173828,4183541,4229158,4252062,4247535,4239567
New Mexico,439658,474289,506075,520572,523176,536024,540397,549893,576181,595598,608831,616772,634340,649729,666908,673403,688598,705726,730712,746645,754003,771069,783831,789677,804103,815642,826086,837667,852612,871248,889448,898998,902411,869491,860154,860305,861617,859804,869558,873422,874424,881252,893823
New York,6905369,7024769,7239599,7424194,7378756,7412890,7303295,7340372,7523862,7744513,7913640,8067764,8181123,8265201,8343353,8108261,7997602,8026518,8075912,8112684,8237123,8432577,8562174,8654586,8718749,8709897,8705352,8672909,8812618,8986859,9077529,9088207,9139080,8844486,8769723,8728057,8793385,8913788,8925698,9057470,9093571,9113601,9181058
North Carolina,2446387,2530209,2640447,2677112,2671472,2722639,2665668,2681016,2826036,2933817,3017057,3118856,3199310,3276667,3333977,3333518,3386088,3446119,3524897,3601621,3733519,3834296,3851970,3927179,3986151,3966798,3906570,3984596,4019809,4091039,4234095,4300304,4281713,4087105,4115629,4157543,4245675,4318114,4400314,4497319,4613300,4717226,4787320
North Dakota,268394,274115,281366,287826,288400,294628,298343,302120,309531,313695,313041,314330,315478,316267,304436,301479,300939,310061,324314,329348,337412,341823,339414,332180,332407,331820,327957,331852,340403,343508,349821,355766,359333,353455,364053,375153,385674,394392,402521,401537,399996,399449,393755
Ohio,4385605,4517698,4680243,4759906,4662318,4624361,4475830,4467277,4614643,4694344,4791014,4887075,4996315,5081552,5114242,5080289,5097104,5136613,5239265,5320351,5362986,5431051,5460917,5508439,5556757,5567130,5516645,5505858,5502444,5541082,5624435,5657718,5580843,5297098,5247050,5261238,5284001,5290609,5373053,5416912,5450622,5483140,5491585
Oklahoma,1119538,1173543,1224682,1267053,1310022,1386295,1404210,1412250,1449534,1454530,1459542,1445778,1429172,1433589,1436914,1412364,1425792,1442202,1462579,1484470,1516423,1544175,1567803,1597894,1610099,1614572,1608106,1593521,1607421,1627110,1647098,1655490,1681081,1652023,1648138,1668418,1709258,1706861,1717628,1751853,1743816,1758416,1779370
Oregon,988076,1070417,1142543,1169599,1188148,1202242,1175780,1190294,1203487,1205144,1247520,1303454,1348376,1386726,1408687,1420124,1439531,1487375,1557373,1590664,1621602,1651241,1677740,1694881,1725744,1706904,1697237,1695906,1703703,1731845,1785044,1822772,1827352,1753682,1773076,1804320,1780790,1760302,1805524,1867909,1949928,2004580,2017155
Pennsylvania,4717649,4805846,4936671,5015577,4999664,5019066,4879737,4849850,4996147,5108212,5216732,5342251,5471632,5553128,5510435,5442516,5462170,5491547,5523612,5562508,5653830,5746071,5783197,5810162,5854551,5881688,5868607,5821711,5876997,5940570,6006634,6064063,6109645,5885351,5840887,5888745,5957314,5967811,6017923,6075917,6103007,6110554,6148635
Rhode Island,401034,410459,421292,431224,435133,438978,429805,437276,460735,476104,488500,498292,505369,503207,492002,473648,479904,481774,478567,479080,488009,500704,508064,515760,521313,519044,522832,530567,529893,537194,544357,543401,525941,504951,503216,498248,500434,505370,513753,521373,524702,529252,533171
South Carolina,1202671,1235507,1276011,1302453,1309817,1323937,1314318,1338068,1401036,1440832,1485545,1534652,1579756,1619360,1659997,1650987,1668893,1696624,1728300,1760567,1783783,1824147,1867808,1897056,1918583,1847939,1835823,1859765,1894141,1929233,1973337,2005686,1996409,1910670,1915045,1945900,1985618,2023642,2078592,2132099,2175584,2207404,2243656
South Dakota,299820,307134,316733,321745,318952,317807,313682,317084,326984,328562,332959,338464,342741,346463,334087,337762,344908,353208,365796,375564,378883,382116,388291,395047,398618,400031,404239,408088,411762,414209,421483,430011,432925,423993,419355,420054,423501,426284,431382,435917,439293,441554,445599
Tennessee,1743474,1818232,1862038,1923863,1926451,1920257,1882724,1928527,2034185,2077808,2118432,2180696,2208637,2247161,2266764,2250608,2297364,2380485,2531129,2591472,2623757,2639198,2691517,2739189,2733281,2730988,2756086,2748140,2725108,2743383,2878455,2920352,2853746,2733113,2792063,2844662,2857945,2828479,2825051,2889411,2981610,3070253,3131660
Texas,5381249,5633267,5909838,6190525,6404883,6686969,6867966,7037893,7360153,7463323,7463198,7576650,7724807,7881265,8073257,8160512,8317300,8530187,8793183,8997538,9165916,9395537,9603021,9767851,9929387,10011046,10065870,10185312,10338484,10523257,10774490,10941413,11104115,11008903,11244632,11535095,11818675,12052646,12374172,12513692,12731137,13002828,13314203
Utah,497703,517830,545669,578533,590777,604666,618270,628089,659064,686628,704533,708540,723514,753358,786073,812206,845770,902780,953282,977294,1003979,1036156,1060663,1081276,1103807,1112607,1116067,1132554,1169795,1220617,1279328,1324060,1322089,1266009,1249814,1259337,1298807,1341192,1372636,1407815,1454399,1497812,1523158
Vermont,198294,212351,226182,232231,234772,242633,244873,247314,254929,265592,276583,285139,292060,295100,289509,283676,288803,296457,301185,306140,310043,315053,322398,326979,322129,325889,329427,331122,334899,338553,343865,339547,338273,336104,337488,338463,337284,334964,333383,332354,333646,335855,336838
Virginia,2203492,2275008,2360420,2415835,2428172,2450737,2453767,2546049,2673670,2705622,2767014,2875916,2960606,3029456,3107094,3142207,3186823,3201717,3262236,3295134,3268553,3314344,3383752,3443020,3522865,3551375,3569570,3599264,3650269,3757592,3855633,3914087,3970428,3842516,3860386,3934326,3967987,3995182,4019470,4028400,4069050,4150132,4202801
Washington,1474876,1553328,1685368,1802077,1823883,1806668,1781699,1828724,1872645,1922407,2010442,2091788,2180097,2306850,2392891,2384323,2442480,2494999,2559932,2630220,2710214,2835517,2904286,2935202,2901492,2847875,2854762,2895863,2996795,3082399,3156626,3243308,3291309,3211649,3160544,3140190,3189271,3219842,3277540,3349995,3451378,3543665,3622299
West Virginia,646711,662302,692499,717083,711819,703240,673193,629121,651636,657796,659400,666346,674533,691729,697633,694101,690770,697021,713372,722870,735701,741865,742528,752379,764711,768661,752548,738990,741890,750561,766399,773990,777560,751165,740910,741972,747384,744410,736472,729215,735157,739079,742179
Wisconsin,2023371,2076223,2148618,2219909,2186318,2188204,2166871,2167806,2215813,2208079,2249171,2339680,2442726,2483256,2476626,2476926,2549773,2623303,2701755,2773322,2827094,2864372,2870031,2855212,2868382,2875585,2861621,2879779,2882064,2878086,2914150,2936452,2940438,2834335,2814393,2840996,2857418,2871997,2914992,2951483,3000231,3037453,3039295
Wyoming,172740,188203,203404,216970,226853,239862,241411,238539,238247,234585,228478,221169,222576,223160,223437,223326,225504,229895,238226,243076,243205,241684,245490,250605,256414,259089,258650,261970,264321,266630,272336,278486,284310,281150,283744,289019,290932,292131,293302,291295,284681,280689,277820
