GeoFips,State,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
13000,Georgia,3.28995E+11,3.52713E+11,3.77608E+11,3.93195E+11,3.96875E+11,4.00092E+11,4.10588E+11,4.29314E+11,4.45533E+11,4.50584E+11,4.53061E+11,4.43416E+11,4.26264E+11,4.33027E+11,4.39891E+11,4.44132E+11,4.50772E+11,4.64061E+11,4.79242E+11,4.95226E+11,5.09422E+11,5.22424E+11
15000,Hawaii,55678700000,54360300000,55182200000,56417200000,56019300000,57911800000,60838100000,64928300000,68565500000,70402900000,71191700000,71689300000,69094800000,71006500000,72080200000,73582700000,74277500000,74504400000,77023000000,78757000000,79998000000,80798000000
16000,Idaho,37014700000,38790600000,42496100000,47324500000,46062200000,47208000000,48535800000,51241400000,55387100000,57589600000,58703100000,59703900000,57087500000,57906700000,57796700000,57764400000,59830600000,61366500000,63208000000,65565000000,67161000000,69892000000
17000,Illinois,5.77804E+11,5.95833E+11,6.17315E+11,6.41749E+11,6.44181E+11,6.47868E+11,6.55835E+11,6.73262E+11,6.85897E+11,7.04495E+11,7.1271E+11,6.9943E+11,6.82966E+11,6.94961E+11,7.0706E+11,7.20702E+11,7.24616E+11,7.34218E+11,7.41725E+11,7.43817E+11,7.48162E+11,7.64212E+11
18000,Indiana,2.32247E+11,2.4638E+11,2.54489E+11,2.63693E+11,2.58661E+11,2.65106E+11,2.75194E+11,2.84656E+11,2.85492E+11,2.91269E+11,2.99423E+11,2.98264E+11,2.77474E+11,2.95133E+11,2.96472E+11,2.97553E+11,3.0392E+11,3.13057E+11,3.09877E+11,3.1513E+11,3.20084E+11,3.26148E+11
19000,Iowa,1.13365E+11,1.1423E+11,1.16663E+11,1.22159E+11,1.20669E+11,1.24097E+11,1.29316E+11,1.39749E+11,1.43876E+11,1.45887E+11,1.52251E+11,1.49132E+11,1.45618E+11,1.49536E+11,1.51248E+11,1.57251E+11,1.56637E+11,1.64721E+11,1.68252E+11,1.68909E+11,1.68332E+11,1.70749E+11
20000,Kansas,1.0477E+11,1.08508E+11,1.11201E+11,1.13972E+11,1.13853E+11,1.15552E+11,1.17478E+11,1.17883E+11,1.22258E+11,1.28899E+11,1.35667E+11,1.38658E+11,1.33277E+11,1.34945E+11,1.38563E+11,1.40478E+11,1.40506E+11,1.43154E+11,1.44932E+11,1.48249E+11,1.49421E+11,1.52262E+11
21000,Kentucky,1.46959E+11,1.51551E+11,1.56261E+11,1.52118E+11,1.51921E+11,1.55676E+11,1.5918E+11,1.63436E+11,1.68805E+11,1.73337E+11,1.71869E+11,1.72151E+11,1.65015E+11,1.72045E+11,1.74136E+11,1.76302E+11,1.7939E+11,1.79753E+11,1.80679E+11,1.81614E+11,1.83566E+11,1.86148E+11
22000,Louisiana,2.0183E+11,2.08683E+11,2.12955E+11,2.06685E+11,2.09046E+11,2.13146E+11,2.2124E+11,2.31602E+11,2.45523E+11,2.43332E+11,2.3462E+11,2.35276E+11,2.38666E+11,2.47351E+11,2.34063E+11,2.33623E+11,2.26616E+11,2.31841E+11,2.31326E+11,2.28526E+11,2.28678E+11,2.31161E+11
23000,Maine,43034800000,44232800000,46393100000,48523600000,49419400000,50633000000,51728500000,53529700000,53612500000,54270200000,54001400000,53921000000,53063600000,53776200000,53087800000,52874000000,52505000000,53417600000,53606000000,54707000000,55617000000,56689000000
24000,Maryland,2.21184E+11,2.31831E+11,2.4091E+11,2.50982E+11,2.60776E+11,2.70885E+11,2.7795E+11,2.92115E+11,3.05993E+11,3.1168E+11,3.12093E+11,3.15859E+11,3.14863E+11,3.27235E+11,3.34307E+11,3.34822E+11,3.34939E+11,3.38707E+11,3.44454E+11,3.55075E+11,3.62043E+11,3.67915E+11
25000,Massachusetts,3.02806E+11,3.1488E+11,3.31705E+11,3.59521E+11,3.62434E+11,3.64797E+11,3.73814E+11,3.83487E+11,3.90792E+11,3.97743E+11,4.07974E+11,4.12601E+11,4.08062E+11,4.24581E+11,4.34724E+11,4.4433E+11,4.44866E+11,4.53479E+11,4.6977E+11,4.77857E+11,4.88339E+11,5.01337E+11
26000,Michigan,3.97339E+11,4.06293E+11,4.29356E+11,4.38277E+11,4.23624E+11,4.3525E+11,4.43795E+11,4.44198E+11,4.50746E+11,4.43308E+11,4.41149E+11,4.16702E+11,3.80091E+11,4.00941E+11,4.11466E+11,4.18857E+11,4.2432E+11,4.30501E+11,4.4031E+11,4.48713E+11,4.56004E+11,4.68387E+11
27000,Minnesota,2.11942E+11,2.22971E+11,2.30684E+11,2.45982E+11,2.46058E+11,2.52414E+11,2.63869E+11,2.74713E+11,2.82094E+11,2.8197E+11,2.83212E+11,2.85792E+11,2.75453E+11,2.84864E+11,2.9063E+11,2.94297E+11,3.00633E+11,3.08197E+11,3.11336E+11,3.17618E+11,3.24264E+11,3.31377E+11
28000,Mississippi,83197100000,85332700000,87646700000,88143000000,87200200000,88124500000,91715100000,93651000000,95228000000,97748300000,1.00204E+11,1.04386E+11,99463000000,99983600000,98727700000,99614600000,99622400000,99430400000,99780000000,1.0012E+11,1.0059E+11,1.0163E+11
29000,Missouri,2.28293E+11,2.32074E+11,2.38361E+11,2.46049E+11,2.44407E+11,2.46813E+11,2.51788E+11,2.57259E+11,2.6153E+11,2.63233E+11,2.64382E+11,2.70608E+11,2.6531E+11,2.69735E+11,2.66726E+11,2.68762E+11,2.71902E+11,2.72774E+11,2.75819E+11,2.73206E+11,2.75783E+11,2.82208E+11
30000,Montana,29169400000,30465600000,30598100000,31375100000,31650500000,32526800000,33842900000,35374900000,37077100000,38431300000,40378800000,40161500000,39337400000,40543800000,41473100000,42005800000,42433800000,43092300000,44724000000,44213000000,44396000000,44801000000
31000,Nebraska,70721800000,72310400000,73883700000,76623400000,78258000000,79665300000,84119500000,86081500000,88893900000,91387200000,93387500000,93569300000,94050000000,97856700000,1.02333E+11,1.02269E+11,1.05038E+11,1.07132E+11,1.09673E+11,1.10226E+11,1.10526E+11,1.1217E+11
32000,Nevada,90367600000,94946700000,1.01277E+11,1.05344E+11,1.06657E+11,1.1002E+11,1.15571E+11,1.28885E+11,1.39695E+11,1.45209E+11,1.44405E+11,1.38863E+11,1.27242E+11,1.28827E+11,1.29734E+11,1.28043E+11,1.28273E+11,1.2966E+11,1.351E+11,1.38284E+11,1.41709E+11,1.46225E+11
33000,New Hampshire,48425100000,51603100000,53058400000,56719900000,57432700000,59040700000,61610300000,63499000000,64356400000,65945000000,65697900000,65016800000,64449600000,66441500000,66840100000,67689200000,68800200000,69473800000,71175000000,72544000000,73981000000,75615000000
34000,New Jersey,4.26187E+11,4.33779E+11,4.48808E+11,4.73035E+11,4.76508E+11,4.8705E+11,4.99695E+11,5.07585E+11,5.13499E+11,5.24056E+11,5.26814E+11,5.33054E+11,5.1115E+11,5.16589E+11,5.10929E+11,5.19746E+11,5.23334E+11,5.25023E+11,5.33615E+11,5.37149E+11,5.43993E+11,5.54672E+11
35000,New Mexico,67446300000,67087200000,70715900000,71956400000,72052600000,74274700000,77132100000,82842900000,83825000000,85890700000,86511100000,85976800000,87667400000,87004100000,87166300000,87601600000,86506000000,89151400000,90868000000,90970000000,90989000000,92591000000
36000,New York,9.7694E+11,9.96663E+11,1.04806E+12,1.088E+12,1.11224E+12,1.10214E+12,1.10494E+12,1.1325E+12,1.17105E+12,1.1999E+12,1.20273E+12,1.17547E+12,1.22323E+12,1.26949E+12,1.26924E+12,1.32245E+12,1.3193E+12,1.3482E+12,1.3691E+12,1.38827E+12,1.40722E+12,1.43696E+12
37000,North Carolina,3.16366E+11,3.26225E+11,3.44425E+11,3.54846E+11,3.61355E+11,3.66035E+11,3.74503E+11,3.887E+11,4.07491E+11,4.32589E+11,4.36437E+11,4.4692E+11,4.27108E+11,4.33404E+11,4.39089E+11,4.39571E+11,4.45361E+11,4.53629E+11,4.67754E+11,4.72931E+11,4.8201E+11,4.9611E+11
38000,North Dakota,22410800000,23681600000,23704900000,24598200000,25017300000,26370300000,27993900000,28266600000,29106800000,30261500000,31667500000,34154600000,35043200000,37696500000,41942300000,51345100000,52530800000,56304500000,54611000000,50752000000,49916000000,51160000000
39000,Ohio,4.71886E+11,4.87904E+11,4.9906E+11,5.08992E+11,5.01815E+11,5.14752E+11,5.22649E+11,5.34359E+11,5.43745E+11,5.4118E+11,5.41411E+11,5.372E+11,5.09216E+11,5.21095E+11,5.38703E+11,5.40819E+11,5.508E+11,5.70362E+11,5.77277E+11,5.81594E+11,5.90884E+11,6.01496E+11
40000,Oklahoma,1.15414E+11,1.17867E+11,1.19725E+11,1.24111E+11,1.28721E+11,1.31078E+11,1.33084E+11,1.37436E+11,1.43073E+11,1.52659E+11,1.55465E+11,1.61361E+11,1.59236E+11,1.59227E+11,1.65153E+11,1.73484E+11,1.77602E+11,1.88065E+11,1.94565E+11,1.89122E+11,1.89569E+11,1.9303E+11
41000,Oregon,1.18539E+11,1.24171E+11,1.26884E+11,1.37802E+11,1.36688E+11,1.39698E+11,1.45585E+11,1.52798E+11,1.58463E+11,1.67912E+11,1.71114E+11,1.73955E+11,1.66653E+11,1.69016E+11,1.73883E+11,1.74493E+11,1.75805E+11,1.81992E+11,1.91595E+11,2.00332E+11,2.06711E+11,2.13708E+11
42000,Pennsylvania,4.95814E+11,5.08484E+11,5.23565E+11,5.37224E+11,5.44791E+11,5.50247E+11,5.62436E+11,5.78034E+11,5.88055E+11,5.9203E+11,6.12018E+11,6.23821E+11,6.05497E+11,6.22467E+11,6.31372E+11,6.41317E+11,6.51319E+11,6.64793E+11,6.77873E+11,6.85462E+11,6.97183E+11,7.12101E+11
44000,Rhode Island,40158500000,41788500000,43175700000,45246100000,45917500000,47611100000,49374300000,51583200000,52316300000,53518200000,52087400000,50447100000,50213600000,51467500000,51269100000,51642000000,52084600000,52208200000,53003000000,52985000000,53404000000,53741000000
45000,South Carolina,1.34908E+11,1.40139E+11,1.46526E+11,1.50501E+11,1.51105E+11,1.54698E+11,1.60138E+11,1.62238E+11,1.66574E+11,1.70339E+11,1.7509E+11,1.74584E+11,1.6685E+11,1.70167E+11,1.74128E+11,1.75375E+11,1.7894E+11,1.83282E+11,1.89167E+11,1.94466E+11,1.99491E+11,2.02771E+11
46000,South Dakota,24976100000,26452100000,27500800000,29406800000,29746200000,32958400000,33657300000,35071400000,35907300000,36459000000,38057400000,39643200000,39731900000,40129800000,42793500000,43444600000,43602200000,44099900000,45266000000,45424000000,45265000000,45874000000
47000,Tennessee,2.10844E+11,2.23769E+11,2.30418E+11,2.33153E+11,2.32723E+11,2.40522E+11,2.47824E+11,2.59337E+11,2.64652E+11,2.71465E+11,2.68756E+11,2.72011E+11,2.63016E+11,2.66727E+11,2.74804E+11,2.83722E+11,2.86801E+11,2.91527E+11,3.00581E+11,3.06343E+11,3.13573E+11,3.22898E+11
48000,Texas,8.72763E+11,9.28374E+11,9.65677E+11,9.98297E+11,1.02189E+12,1.04181E+12,1.0483E+12,1.1027E+12,1.1328E+12,1.21029E+12,1.2743E+12,1.27577E+12,1.27144E+12,1.30173E+12,1.34379E+12,1.41138E+12,1.4721E+12,1.51235E+12,1.58996E+12,1.59315E+12,1.62495E+12,1.67668E+12
49000,Utah,80682500000,85719700000,89269900000,92507500000,93886600000,95693300000,97648800000,1.02725E+11,1.09146E+11,1.18721E+11,1.24498E+11,1.23483E+11,1.20792E+11,1.2333E+11,1.2706E+11,1.28721E+11,1.31902E+11,1.3589E+11,1.41348E+11,1.46875E+11,1.50791E+11,1.57233E+11
50000,Vermont,20026100000,20697000000,21843400000,23022500000,23713500000,24455400000,25301300000,26564300000,26909400000,27132400000,26801500000,27437200000,26996600000,28111000000,28733300000,28887400000,28498600000,28490600000,28805000000,29257000000,29644000000,30013000000
51000,Virginia,3.01623E+11,3.17197E+11,3.32146E+11,3.46161E+11,3.58519E+11,3.62262E+11,3.76114E+11,3.93446E+11,4.15087E+11,4.23738E+11,4.27001E+11,4.25804E+11,4.25583E+11,4.37268E+11,4.41609E+11,4.4495E+11,4.4656E+11,4.45527E+11,4.54098E+11,4.55393E+11,4.63426E+11,4.76388E+11
53000,Washington,2.71601E+11,2.89102E+11,3.10332E+11,3.1223E+11,3.05055E+11,3.10338E+11,3.16224E+11,3.22003E+11,3.43362E+11,3.56691E+11,3.78205E+11,3.82381E+11,3.72728E+11,3.81253E+11,3.87832E+11,4.00863E+11,4.11141E+11,4.25334E+11,4.43357E+11,4.60081E+11,4.79158E+11,5.06706E+11
54000,West Virginia,59236500000,60164800000,62170200000,62051500000,62016800000,62805300000,62839100000,63721400000,65548900000,66435400000,66522100000,67888300000,67564900000,68443600000,69658000000,69399000000,70158700000,69845500000,69498000000,68663000000,69647000000,71321000000
55000,Wisconsin,2.09257E+11,2.17254E+11,2.26298E+11,2.33085E+11,2.36113E+11,2.40996E+11,2.47867E+11,2.56003E+11,2.62161E+11,2.66471E+11,2.67936E+11,2.64632E+11,2.57143E+11,2.64841E+11,2.70373E+11,2.74344E+11,2.7619E+11,2.81232E+11,2.85271E+11,2.88416E+11,2.92477E+11,2.99835E+11
56000,Wyoming,25239500000,25840700000,26822400000,27708200000,29240700000,29875500000,30612300000,31529700000,33120800000,37526700000,40334900000,42632500000,41385400000,39801400000,39395500000,38431700000,38503900000,38560500000,39567000000,38077000000,38258000000,38369000000
