State,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Kansas,213250,234636,258452,268897,299806,310111,332547,348751,354376,375960,403512,441321,460629,466851,479721,499788
Kentucky,241520,274927,276986,298268,334208,377635,424013,452265,479282,503293,498742,518874,538189,555579,546893,515406
Louisiana,354011,376886,409537,436483,476785,514403,559372,584336,552931,604007,660262,671131,657569,667523,653885,632537
Maine,35265,44437,57753,70969,75063,83935,99108,96569,120038,137425,128090,128434,118832,129236,118589,103373
Maryland,1330288,1387381,1507669,1653757,1895382,2040747,2268304,2356905,2529998,2542336,2747001,3021052,3094055,3366663,3316156,3393945
Massachusetts,1348220,1401851,1486174,1578977,1697182,1821924,2000120,2079548,2122756,2171596,2271757,2463395,2628804,2806845,3010696,3246125
Michigan,882700,921560,1007910,1108622,1233887,1390083,1397435,1456218,1473199,1509953,1593654,1742051,1903476,2029656,2076947,2134096
Minnesota,367779,377393,418029,469370,504398,517912,535469,558259,605201,636920,698920,758084,802840,866304,840731,869824
Mississippi,152683,175118,217064,260991,289412,324236,347563,353078,369143,410637,406459,416806,418235,431365,437775,385916
Missouri,484502,549876,614028,678202,705593,807075,841779,893013,900202,941445,960171,1008901,964192,984357,1055398,1027959
Montana,76655,84460,99069,107744,122375,141220,154726,170791,172622,179137,185791,181649,195619,182326,184754,175054
Nebraska,186320,205495,208480,241638,266930,300540,325001,360148,358858,364842,376092,393611,352419,393395,419163,419564
Nevada,83888,91485,106154,115934,126713,154515,163764,178492,194459,192081,190893,182016,170989,160254,149323,147079
New Hampshire,117323,127135,150982,196975,220061,252210,277201,287472,315394,307074,302008,298298,298650,341848,349891,335518
New Jersey,484942,521304,567666,628040,690642,754426,805135,865641,858413,864725,878330,913904,1022690,1091890,1060469,1121926
New Mexico,228740,224500,243822,274209,292691,306636,303922,361466,421428,410375,416991,435375,407429,400121,390548,390745
New York,1929694,2074847,2297109,2458396,2742882,3055139,3331821,3585293,3812856,3971652,3982048,4174906,4784822,5111149,5166092,5329080
North Carolina,899507,1012865,1040943,1139099,1279377,1397859,1446874,1655327,1709877,1884244,1979164,2160505,2422947,2604219,2619095,2669947
North Dakota,56945,61695,67406,84574,106078,133615,151710,149994,160095,169468,180764,185708,202626,209430,213666,212705
Ohio,810225,831288,918241,996069,1116116,1268397,1319680,1531614,1637546,1767903,1827042,1895074,1963559,2108503,2017681,2052506
Oklahoma,208873,238799,252419,255217,282062,295098,283021,291697,298175,298663,333230,336904,383110,418373,412978,384729
Oregon,314355,327932,346149,366023,386666,436958,504802,536228,557405,574521,594945,636617,663378,701228,680956,667974
Pennsylvania,1348936,1391298,1553216,1693793,1913687,2014842,2208100,2367837,2431403,2438312,2604118,2722278,3027286,3202025,3127830,3224185
Rhode Island,111979,120868,129697,142625,163052,187131,192326,199709,230104,230281,236627,246322,287708,330272,335957,320878
South Carolina,248474,267881,294274,361404,399982,435328,455964,487776,524034,569347,576219,611539,616972,576881,563599,570056
South Dakota,25474,25849,27589,32498,38449,49977,58583,67012,72790,81544,91797,102299,126562,132295,123383,113284
Tennessee,346742,371716,405291,428259,491274,600004,658247,726078,742923,761388,787122,832991,879994,952398,968317,980450
Texas,1697344,1829986,2037681,2251839,2535237,2764769,2879129,3073724,3270728,3417082,3744182,3982142,4220820,4427560,4413601,4585482
Utah,249147,273192,308059,338127,359556,385158,407327,400276,412811,414690,425683,500421,551607,614316,608199,673095
Vermont,58585,64791,64762,76882,90189,106581,115767,117400,123608,115025,117210,125023,132519,136623,119802,120177
Virginia,497209,505374,553924,610904,693668,776067,849038,910163,946886,971377,1052601,1088367,1134387,1300258,1283852,1323095
Washington,543239,589719,643998,707761,784186,871113,897326,901558,988252,981229,1058170,1083799,1304992,1438349,1376467,1402118
West Virginia,64150,65744,75524,81880,100830,125417,134961,146489,150420,167208,169054,174486,178435,195952,189225,184992
Wisconsin,535997,597372,662080,729288,806543,877800,956652,999847,1039530,1066688,1117152,1203919,1230932,1338969,1330504,1278009
Wyoming,48500,47197,43094,41632,41632,60054,60054,83449,89414,79700,74720,77633,53957,55320,63812,63149
Wyoming,,,,,,,,,,,,,,,,
