State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
North Dakota,884,771,804,756,720,681,624,766,717,655,681,611,590,637,613,610,637,646,561,597,678,666,606,649,631,669,622,629,720,791,722,694
Ohio,9339,7958,7948,7538,7474,7069,6967,9090,8713,8592,8854,8277,8435,8373,8029,7661,7933,8148,8511,8047,8129,8117,7731,7306,7070,7118,6655,6591,6812,6714,5961,6058
Oklahoma,3332,3247,3391,3266,3106,3095,2619,3467,2883,2731,2500,2470,2617,2741,2730,2661,2672,2761,2688,2676,2905,2984,2849,2691,2696,2776,2740,2580,2908,3012,2856,2890
Oregon,3390,3097,3102,3194,2995,2720,2528,2810,3105,3229,3290,3202,2794,3758,3333,3249,3340,3688,3797,3575,3550,3737,3664,3548,3634,3609,3616,3507,3714,3881,3589,3616
Pennsylvania,10431,8981,8867,8457,8108,8206,8193,10732,10500,10670,10928,10136,10246,9824,9191,8496,8192,8246,9093,8738,9062,9312,8972,8837,8644,8713,8309,8267,8820,8610,7902,7867
Rhode Island,1101,893,927,849,848,815,851,1073,1090,1057,1122,1093,1092,938,840,849,910,919,907,942,938,1007,933,900,917,888,937,910,893,852,794,750
South Carolina,2776,2435,2454,2464,2377,2451,2437,3649,3292,3074,3109,2960,2904,2983,2979,2850,2871,3066,3249,3196,3258,3452,3419,3412,3238,3336,3330,3136,3388,3212,3101,2945
South Dakota,880,832,723,723,665,625,622,874,811,684,717,710,699,832,752,719,753,819,774,783,861,886,827,862,831,940,877,854,813,903,898,817
Tennessee,4351,3818,3694,3463,3311,3374,3506,5233,4193,4247,4211,4043,4070,4044,3959,3940,4100,4098,4121,4117,3973,4147,3873,3728,3569,3698,3844,3761,3829,3810,3604,3664
Texas,15406,14936,16385,8343,23052,15297,14284,16445,15036,14678,13848,13569,14092,15137,15488,15099,15113,15496,15589,15722,16006,16257,15789,15591,15485,15906,16194,16393,16801,17396,16975,17326
Utah,1516,1447,1532,1329,1344,1281,1151,1292,1359,1313,1353,1365,1439,1451,1597,1647,1656,1877,1933,2093,2110,2145,2183,2225,2359,2579,2593,2454,2561,2796,2663,2636
Vermont,781,737,647,632,646,672,672,888,851,929,876,867,927,827,720,668,746,753,710,728,745,781,723,724,677,679,676,640,620,629,632,556
Virginia,4814,4469,4199,4470,4341,4341,4261,5991,6059,5979,5732,5734,5634,5787,5347,5328,5489,5569,5925,5705,5897,6222,5918,5894,5762,6054,5883,6134,6382,6400,6053,5897
Washington,5125,4736,4698,4686,4440,4387,4354,4400,5183,5267,5272,5142,4438,6366,5633,5502,5551,5723,5755,5784,5881,6047,5975,5907,5792,6001,5834,5805,6265,6397,5952,5866
West Virginia,1543,1293,1226,1185,1193,1177,1064,1593,1412,1336,1370,1290,1316,1349,1263,1244,1252,1233,1296,1193,1247,1195,1170,1158,1026,1039,1022,1086,1161,1062,905,870
Wisconsin,5030,4664,4271,4011,3575,3622,3484,4824,4606,4460,4870,4372,4485,4475,4439,4198,4454,4466,4548,4478,4612,4644,4446,4511,4170,4371,4043,3937,4144,4202,3784,3575
Wyoming,751,749,755,663,725,652,528,603,599,544,500,516,515,545,578,551,610,662,646,673,655,728,634,709,679,777,683,644,699,790,754,723
