State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Minnesota,0.813910615,0.832433427,0.830821552,0.82445201,0.821346652,0.810813859,0.814628038,0.816988879,0.826233335,0.837030233,0.850538144,0.860065985,0.86010346,0.858922953,0.864312424,0.871443684,0.870846103,0.867340328,0.867183518,0.866720239,0.868905205,0.863802094,0.870126317,0.878629588,0.879889553,0.887414817,0.890501111,0.894934618,0.899169626,0.907020912,0.910596858,0.912151125,0.901703727
Mississippi,0.789334663,0.811580237,0.807167352,0.818050945,0.82095074,0.814892976,0.806708757,0.809668441,0.815803809,0.824427751,0.832497475,0.837660927,0.832430691,0.835347313,0.837581154,0.842018461,0.846642931,0.852214458,0.857823014,0.85666563,0.859332474,0.859258153,0.858473537,0.866296493,0.859053235,0.865830703,0.871601003,0.879928759,0.885670923,0.893128166,0.901607506,0.903019995,0.904769264
Missouri,0.809078388,0.839379975,0.841027311,0.835986975,0.823189118,0.817287633,0.811696679,0.816775751,0.823642041,0.834783682,0.839655208,0.851375647,0.854848107,0.854520656,0.85860669,0.86397624,0.863076274,0.864636919,0.86219183,0.864273302,0.867882094,0.864283443,0.867554511,0.869781198,0.875079556,0.875250954,0.883766328,0.89184128,0.897524639,0.904011073,0.9072196,0.91009779,0.912426575
Montana,0.692782678,0.711162203,0.718241924,0.751317985,0.763837673,0.759877197,0.742678015,0.755272533,0.763617291,0.776054146,0.784080489,0.795261157,0.796646788,0.79172424,0.787111121,0.797485519,0.792124838,0.786567443,0.785489237,0.791339041,0.80092999,0.796563914,0.811712444,0.811758191,0.814069801,0.801913995,0.815175779,0.828668948,0.831640236,0.843348523,0.868922362,0.876606274,0.882691138
Nebraska,0.804606429,0.800574173,0.820596452,0.821314565,0.817515121,0.805394773,0.800500818,0.812652809,0.817122518,0.835189047,0.832755437,0.847886112,0.855714531,0.861629947,0.869608342,0.87588779,0.873886348,0.867261919,0.861510091,0.85935084,0.858351144,0.859503294,0.874366342,0.884356622,0.890172275,0.896349767,0.895321888,0.903390162,0.908420763,0.909823087,0.908185564,0.914014296,0.914875424
Nevada,0.713649343,0.74417273,0.749112249,0.758964799,0.763960336,0.749276324,0.758493049,0.751502179,0.757768093,0.773346777,0.796513733,0.803127991,0.806644801,0.798858698,0.790661622,0.786361844,0.77623216,0.778085613,0.774957659,0.777355253,0.801353674,0.79511166,0.808194437,0.79325184,0.788565073,0.809351087,0.819090522,0.829113461,0.837185397,0.841761378,0.854705062,0.853971813,0.848960811
New Hampshire,0.79475968,0.809059426,0.797571036,0.801407954,0.776434697,0.757456711,0.754274487,0.755290856,0.780118727,0.801182861,0.818442123,0.827231868,0.834614699,0.849809584,0.846126964,0.844028074,0.845731428,0.848394784,0.845836797,0.852781881,0.860636616,0.861281793,0.871538992,0.875082021,0.873362523,0.878824166,0.88336651,0.889768702,0.89439004,0.896124902,0.897924089,0.903136705,0.911043145
New Jersey,0.826612544,0.838519152,0.835866954,0.83121465,0.820012088,0.808636206,0.809429442,0.810959034,0.81822608,0.830973596,0.840192082,0.853034797,0.860041635,0.860430594,0.859131988,0.858908037,0.850788571,0.848035929,0.847524203,0.845469416,0.849346713,0.85044831,0.856310279,0.861709073,0.861173335,0.862579912,0.866179577,0.878744769,0.882115853,0.881059343,0.87939698,0.883157582,0.887047775
New Mexico,0.710380154,0.712668067,0.724403512,0.74990615,0.729187674,0.71979296,0.746013806,0.757460963,0.766756908,0.773267432,0.785030637,0.802215875,0.808618917,0.803815197,0.805754726,0.807524372,0.811260463,0.820682348,0.821215161,0.825390722,0.82483864,0.821705222,0.831413314,0.835100886,0.837874949,0.822564127,0.841343134,0.847912471,0.854490039,0.858426857,0.86160676,0.881669281,0.883436481
New York,0.817327267,0.834837071,0.834551895,0.830590261,0.828295564,0.813104294,0.808894196,0.811281613,0.818952681,0.828792969,0.832613875,0.85203898,0.858970278,0.85714899,0.854812122,0.855069445,0.848361976,0.846560868,0.845594719,0.848059292,0.849212855,0.852685207,0.857035168,0.861600101,0.86202115,0.862744558,0.863607185,0.870577674,0.872497862,0.875143551,0.875767617,0.876859401,0.875111058
