State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Minnesota,0.153890296,0.135574257,0.136670281,0.141842237,0.146612523,0.154012538,0.156121379,0.15652753,0.147017847,0.137111233,0.125873894,0.114332772,0.113645043,0.111244082,0.11068186,0.105115908,0.101437175,0.107719979,0.109670926,0.111408507,0.105914209,0.112373049,0.106660447,0.09711314,0.094040497,0.090944109,0.089058614,0.086711123,0.083341654,0.076409564,0.075824366,0.073685263,0.069575103
Mississippi,0.175323196,0.154287949,0.152427257,0.146168495,0.145935058,0.145202612,0.159900052,0.156267733,0.154257879,0.144700382,0.140858268,0.126482738,0.124826925,0.132329586,0.130756521,0.129175346,0.12404261,0.119058184,0.115476622,0.117377608,0.109423641,0.113346496,0.114006313,0.10602188,0.108692701,0.110606108,0.105477283,0.097671846,0.093012963,0.087409802,0.081206204,0.078814157,0.075520387
Missouri,0.159088562,0.131280004,0.127442123,0.132107644,0.14362,0.142002502,0.15903208,0.154029369,0.147117377,0.138535244,0.132593561,0.121464712,0.11634488,0.118094892,0.115562242,0.111575922,0.105791891,0.108657915,0.112613602,0.113853552,0.103706871,0.11054572,0.10624131,0.101933647,0.099454291,0.101000153,0.095062154,0.08904883,0.084412942,0.078443822,0.074948456,0.073216876,0.07102332
Montana,0.251759222,0.223208369,0.229396307,0.199736173,0.188070668,0.184528161,0.208966958,0.202513462,0.197236003,0.184388043,0.175819324,0.167411885,0.160502533,0.163200543,0.167407934,0.16069537,0.162251558,0.173531498,0.17738168,0.175791376,0.161029198,0.168292211,0.152793946,0.149909622,0.142844875,0.164522768,0.154601674,0.148282456,0.140378054,0.134324565,0.107291986,0.100221849,0.093468638
Nebraska,0.157955617,0.14900503,0.145980857,0.142543993,0.149024043,0.153123319,0.165069843,0.158242506,0.15494065,0.141881086,0.139977551,0.125723292,0.118124491,0.111887484,0.104499391,0.101998689,0.096557184,0.101638269,0.116270294,0.117678874,0.11891294,0.11910858,0.104310621,0.092607411,0.088016085,0.084496432,0.08361646,0.080073843,0.077486107,0.073849778,0.071210338,0.071627798,0.068070395
Nevada,0.221724968,0.213437936,0.20589732,0.194912689,0.188424959,0.196215222,0.199495417,0.204837982,0.202244199,0.189777082,0.166229557,0.158637102,0.148205123,0.153476929,0.158638851,0.172446277,0.176138047,0.177891487,0.18746244,0.189100091,0.158416416,0.164646807,0.154546028,0.160712709,0.16810595,0.153224552,0.147612601,0.14108385,0.128134492,0.130905049,0.117831331,0.118258716,0.12088542
New Hampshire,0.171263386,0.153995956,0.162546503,0.157596022,0.172650531,0.193867873,0.200214697,0.200216771,0.189149003,0.170874533,0.153541554,0.146511417,0.135514168,0.117957819,0.122795416,0.127057814,0.124377139,0.126327766,0.128407616,0.122626758,0.115827954,0.11559286,0.106514718,0.097907553,0.099053586,0.101006768,0.094031461,0.093564091,0.087987568,0.087452702,0.080652571,0.081492817,0.072188844
New Jersey,0.14168239,0.134905681,0.134472423,0.139769088,0.145976771,0.153129875,0.158589434,0.161088602,0.153244992,0.144504442,0.134538153,0.122518518,0.113529446,0.111058433,0.113391032,0.11407323,0.117280853,0.123872791,0.128463537,0.126636843,0.124480673,0.124127599,0.118642362,0.111397075,0.111520337,0.112439982,0.107186479,0.10182898,0.097675428,0.097561814,0.101047514,0.095200609,0.091788184
New Mexico,0.23021027,0.224102641,0.225487778,0.201239089,0.220014169,0.218277077,0.212316179,0.20087385,0.193858686,0.185030891,0.176703407,0.160737471,0.151589841,0.154936067,0.155078031,0.155567516,0.144693535,0.146222457,0.14758694,0.141088117,0.139246811,0.146306933,0.136123437,0.134511325,0.129881406,0.134785906,0.133975099,0.130471177,0.125851954,0.120417299,0.115070126,0.095220443,0.095759368
New York,0.148144203,0.136403542,0.135701786,0.139111698,0.141204994,0.148664505,0.160107858,0.158807863,0.153291885,0.145416116,0.139757941,0.122067678,0.113491047,0.115418862,0.116600813,0.116158281,0.119129839,0.124164642,0.126371979,0.125814248,0.121745713,0.12064662,0.11633957,0.109191337,0.109227692,0.112723683,0.109835737,0.106345099,0.102877022,0.101216746,0.1022045,0.101539686,0.101417391
