State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Oklahoma,0.371,0.451,0.407,0.409,0.398,0.344,0.354,0.419,0.385,0.405,0.399,0.451,0.478,0.481,0.462,0.445,0.435,0.427,0.422,0.422,0.436,0.469,0.47,0.47,0.484,0.454,0.473,0.445,0.468,0.472,0.463,0.486
Oregon,0.373,0.345,0.369,0.397,0.426,0.427,0.422,0.388,0.443,0.439,0.43,0.479,0.496,0.506,0.479,0.465,0.469,0.454,0.457,0.438,0.442,0.473,0.486,0.514,0.54,0.494,0.488,0.46,0.432,0.432,0.426,0.464
Pennsylvania,0.467,0.464,0.482,0.501,0.536,0.518,0.514,0.572,0.556,0.517,0.5,0.51,0.522,0.52,0.514,0.507,0.504,0.511,0.511,0.506,0.506,0.528,0.528,0.536,0.539,0.517,0.511,0.486,0.49,0.492,0.488,0.513
Rhode Island,0.473,0.452,0.492,0.483,0.52,0.506,0.513,0.527,0.508,0.452,0.421,0.443,0.475,0.463,0.47,0.492,0.501,0.471,0.492,0.472,0.482,0.509,0.521,0.524,0.54,0.486,0.502,0.434,0.449,0.419,0.448,0.451
South Carolina,0.395,0.377,0.428,0.448,0.466,0.457,0.515,0.529,0.482,0.455,0.436,0.454,0.483,0.48,0.472,0.457,0.45,0.459,0.448,0.438,0.435,0.457,0.454,0.49,0.484,0.477,0.484,0.445,0.446,0.414,0.414,0.445
South Dakota,0.407,0.418,0.41,0.441,0.475,0.476,0.455,0.534,0.511,0.478,0.47,0.526,0.537,0.522,0.498,0.485,0.493,0.481,0.479,0.46,0.521,0.529,0.523,0.572,0.568,0.494,0.503,0.487,0.446,0.475,0.501,0.51
Tennessee,0.386,0.387,0.396,0.412,0.438,0.423,0.439,0.516,0.454,0.445,0.417,0.452,0.461,0.47,0.466,0.46,0.45,0.435,0.42,0.414,0.408,0.437,0.432,0.457,0.452,0.446,0.463,0.434,0.429,0.422,0.412,0.446
Texas,0.384,0.459,0.424,0.436,0.455,0.383,0.392,0.417,0.378,0.38,0.387,0.437,0.462,0.468,0.456,0.44,0.432,0.424,0.422,0.418,0.432,0.446,0.454,0.465,0.462,0.446,0.452,0.451,0.451,0.46,0.452,0.475
Utah,0.356,0.429,0.404,0.389,0.431,0.402,0.405,0.394,0.412,0.409,0.401,0.45,0.499,0.494,0.496,0.472,0.443,0.432,0.429,0.428,0.422,0.435,0.437,0.471,0.475,0.466,0.459,0.423,0.414,0.405,0.372,0.416
Vermont,0.463,0.447,0.447,0.461,0.508,0.494,0.507,0.543,0.488,0.495,0.437,0.458,0.484,0.516,0.526,0.51,0.503,0.526,0.496,0.508,0.49,0.54,0.544,0.56,0.574,0.529,0.517,0.487,0.471,0.464,0.482,0.479
Virginia,0.422,0.416,0.421,0.466,0.487,0.478,0.469,0.596,0.501,0.47,0.436,0.463,0.472,0.484,0.483,0.487,0.484,0.473,0.472,0.47,0.469,0.498,0.504,0.507,0.502,0.497,0.482,0.455,0.453,0.44,0.451,0.473
Washington,0.397,0.381,0.404,0.433,0.462,0.448,0.441,0.378,0.475,0.457,0.442,0.479,0.502,0.477,0.471,0.436,0.441,0.426,0.431,0.427,0.438,0.448,0.458,0.481,0.488,0.483,0.465,0.448,0.439,0.421,0.412,0.434
West Virginia,0.388,0.385,0.373,0.41,0.444,0.426,0.444,0.59,0.475,0.458,0.443,0.469,0.503,0.499,0.484,0.49,0.493,0.456,0.439,0.432,0.446,0.457,0.466,0.497,0.496,0.463,0.477,0.465,0.468,0.443,0.435,0.464
Wisconsin,0.471,0.462,0.483,0.494,0.476,0.488,0.483,0.536,0.534,0.6,0.512,0.533,0.545,0.527,0.536,0.518,0.515,0.508,0.508,0.507,0.519,0.529,0.534,0.551,0.544,0.5,0.493,0.471,0.468,0.471,0.463,0.489
Wyoming,0.393,0.453,0.403,0.386,0.422,0.376,0.359,0.419,0.44,0.465,0.426,0.516,0.542,0.514,0.517,0.477,0.483,0.477,0.469,0.454,0.468,0.51,0.488,0.536,0.537,0.49,0.489,0.46,0.458,0.468,0.461,0.486
