State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
South Dakota,1056,1018,1009,1320,1275,1074,1152,1088,1074,1328,1192,1172,1200,1368,1250,1294,1270,1317,1261,1187,1303,1427,1295,1318,1304,1452,1336,1144,1111,971,968,1059
Tennessee,5603,5883,6013,8172,7207,7335,7330,6785,6832,6838,6440,6544,6965,7176,7349,7458,7147,7219,6711,6060,5954,6087,6228,6499,6738,6914,6427,5943,4706,4644,4858,4919
Texas,40661,29515,27495,31852,29900,28017,25255,23482,24071,26164,26099,26118,26485,27587,27974,28291,27889,27525,26468,25613,25940,26584,26751,27387,27859,28773,28248,27153,23984,23131,25097,26591
Utah,2344,2359,2146,2440,2473,2381,2340,2260,2326,2385,2481,2716,2860,3267,3433,3717,3688,3730,3770,3623,3744,3997,4198,4282,4601,5213,5040,4174,3398,3400,3405,3661
Vermont,1025,1085,1088,1367,1431,1571,1546,1489,1526,1323,1109,1034,1181,1168,1142,1131,1180,1183,1073,1071,998,998,1029,1027,989,1067,979,828,712,643,724,762
Virginia,6868,7120,6496,9428,9855,10049,9993,9667,9450,9417,8460,8534,8938,9097,9717,9337,9607,9734,9133,9141,8934,9288,9403,10312,10769,11099,9967,9093,7752,6922,7560,7770
Washington,7186,7448,7640,9094,8534,8849,8705,6590,7165,10644,9150,9488,9470,9864,9935,10076,10052,10121,9873,9391,9112,9267,9214,9706,10467,11366,10527,9372,7545,6964,7576,7560
West Virginia,2033,2041,1660,2480,2301,2259,2270,2139,2103,2177,2038,1983,2105,2080,2207,2084,2112,2017,1929,1801,1639,1698,1640,1775,1869,1835,1524,1384,1165,1047,1149,1135
Wisconsin,5982,5948,5724,7333,6203,7021,7407,6664,6846,7093,6655,6511,6903,6936,7137,7073,7048,7131,6775,6681,6373,6707,6327,6445,6714,6842,6088,5410,4639,4204,4373,4431
Wyoming,1319,1218,1104,1100,1053,903,815,783,765,869,888,891,1000,1084,1078,1146,1082,1096,1004,1061,1059,1186,1061,1069,1161,1328,1247,1073,918,812,871,924
