State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Nebraska,0.037437954,0.050420797,0.033422692,0.036141442,0.033460836,0.041481908,0.034429339,0.029104685,0.027936832,0.022929868,0.027267011,0.026390596,0.026160978,0.026482569,0.025892267,0.022113521,0.029556469,0.031099812,0.022219615,0.022970286,0.022735916,0.021388126,0.021323037,0.023035967,0.02181164,0.019153801,0.021061652,0.016535995,0.01409313,0.016327134,0.020604098,0.014357905,0.017054181
Nevada,0.064625689,0.042389334,0.044990431,0.046122512,0.047614706,0.054508454,0.042011534,0.043659839,0.039987708,0.036876141,0.037256709,0.038234907,0.045150076,0.047664373,0.050699527,0.04119188,0.047629794,0.044022901,0.037579901,0.033544657,0.04022991,0.040241532,0.037259535,0.046035451,0.043328977,0.037424361,0.033296877,0.029802689,0.03468011,0.027333573,0.027463607,0.027769471,0.03015377
New Hampshire,0.033976935,0.036944617,0.039882461,0.040996024,0.050914772,0.048675416,0.045510816,0.044492374,0.03073227,0.027942605,0.028016323,0.026256714,0.029871132,0.032232597,0.03107762,0.028914112,0.029891433,0.025277449,0.025755587,0.024591361,0.023535431,0.023125347,0.02194629,0.027010426,0.027583891,0.020169066,0.022602029,0.016667207,0.017622392,0.016422396,0.021423339,0.015370479,0.01676801
New Jersey,0.031705066,0.026575166,0.029660624,0.029016262,0.034011141,0.038233919,0.031981124,0.027952364,0.028528928,0.024521962,0.025269766,0.024446685,0.02642892,0.028510973,0.02747698,0.027018733,0.031930576,0.028091281,0.02401226,0.027893741,0.026172614,0.025424091,0.025047359,0.026893852,0.027306328,0.024980106,0.026633944,0.019426251,0.02020872,0.021378843,0.019555505,0.021641809,0.021164041
New Mexico,0.059409576,0.063229292,0.05010871,0.048854761,0.050798157,0.061929963,0.041670015,0.041665187,0.039384405,0.041701677,0.038265956,0.037046655,0.039791242,0.041248736,0.039167243,0.036908112,0.044046002,0.033095195,0.031197899,0.033521162,0.03591455,0.031987845,0.032463249,0.030387789,0.032243646,0.042649968,0.024681767,0.021616352,0.019658008,0.021155845,0.023323115,0.023110276,0.020804151
New York,0.03452853,0.028759387,0.02974632,0.030298041,0.030499442,0.038231201,0.030997946,0.029910524,0.027755434,0.025790915,0.027628184,0.025893342,0.027538675,0.027432148,0.028587065,0.028772274,0.032508184,0.02927449,0.028033302,0.02612646,0.029041432,0.026668173,0.026625262,0.029208562,0.028751157,0.024531759,0.026557078,0.023077227,0.024625116,0.023639704,0.022027883,0.021600914,0.02347155
North Carolina,0.030554779,0.02707841,0.033370449,0.032810468,0.031254455,0.034286272,0.033367069,0.028532404,0.026686518,0.025353105,0.025140234,0.023601255,0.02735973,0.026756684,0.029040777,0.028397769,0.032443573,0.029518981,0.026436789,0.025531158,0.026681391,0.025716189,0.026757768,0.028521677,0.029115991,0.024439502,0.02287931,0.020258469,0.0233158,0.02038589,0.018290795,0.01730287,0.019019288
North Dakota,0.04641794,0.0483581,0.044838032,0.037995728,0.036236292,0.044102088,0.038690363,0.032264091,0.029919359,0.027987228,0.025864255,0.028536121,0.028381767,0.029858768,0.038703622,0.024660221,0.032124662,0.033207972,0.029314316,0.0247124,0.02413218,0.020507896,0.023095632,0.026095704,0.026480296,0.025194148,0.022883467,0.020384123,0.017608054,0.022270846,0.029857099,0.026131381,0.025582549
Ohio,0.029145751,0.022253863,0.027212392,0.02709676,0.028090764,0.032647362,0.027200873,0.027858948,0.024191677,0.022731809,0.021321681,0.021574151,0.022903354,0.022347356,0.022995173,0.023586039,0.025068338,0.02352396,0.022239572,0.019458625,0.024148936,0.021711998,0.020865666,0.024049886,0.023624226,0.019741855,0.018977612,0.01656782,0.017834634,0.015651785,0.015707352,0.014391166,0.015067841
Oklahoma,0.059900644,0.04317783,0.045439266,0.041511781,0.041789852,0.052778355,0.038830441,0.037337174,0.03223862,0.034494124,0.033279059,0.03152665,0.035583861,0.033791119,0.033336259,0.036754446,0.036385588,0.032105083,0.031918251,0.028770418,0.033040087,0.025699163,0.027467776,0.031451183,0.033807035,0.028369084,0.026455263,0.023182603,0.024932234,0.021240867,0.021448637,0.021855034,0.024251265
